Comment,Date,language
Hnb app eken kiparak dawasata transfer karnna puluwanda,2025-01-28T06:58:05Z,si
Transer karapu detail ayin karanna widiyak nadda,2024-11-25T17:12:07Z,si
Account  එක ඇඩ් කරන්න්න බෑනේ..,2024-11-06T12:47:48Z,si
Therenne na,2024-10-31T01:59:57Z,en
Nola Brooks,2024-10-15T08:52:59Z,other
Brown Eric Lee Karen Hernandez William,2024-09-24T07:02:31Z,other
Good job,2024-07-26T12:05:02Z,en
Akke mage bank account eka we could not find an account to initiate a fund transfer kiyala watenawa ekata giyama  view & transact kiyana eka danna ba e hinda salli transfer karanna ba ne,2024-07-05T09:47:37Z,si
Akke mage account ekin money transfer karaganna bh mn lankave nh mata adhissiyata kisima deyak karaganna varuva thiyenne solution ekak one,2024-06-19T22:32:18Z,si
Salari kohomada,2025-05-20T11:59:52Z,other
සුදුසුකම් තියෙනව අදම යන්නෙ කොහොමද,2025-05-19T05:16:22Z,si
කාලය මදිනෙ මට මෙක එනකොට එක දවසයිනෙ,2025-05-19T05:15:01Z,si
Marry karapu ayata puluwanda,2025-05-19T01:21:33Z,si
Sir boc traning staff assistant  exam  ekata ena past paper gena video ekk gennako,2025-05-19T01:03:06Z,si
Apply link ekak nedda?,2025-05-19T00:46:52Z,si
Internship yanna berid 6 months walin ain wenna puluwnd ,2025-05-18T17:44:26Z,si
Ane pls kynko mekt 20 wenidt interview gyoth hrid kyl,2025-05-18T17:16:37Z,other
Island wideද?,2025-05-18T16:25:29Z,si
First  ,2025-05-18T15:42:40Z,en
මම ඉන්නෙ පිටරට මගේ HNB ගිණුමක් තියෙනවා..කොහොමද ස්ථාවර තැන්පතුව ක් දාන්නෙ,2025-05-09T14:03:32Z,si
Fixed deposit ekak end karanne kohomada obligation app eke,2025-03-09T03:01:18Z,si
Bank ekata nogihin e bank haraha deposit karsnna puluwanda.kalin deposit karala nati kenekta.,2025-01-25T05:05:09Z,si
H n b pinas nambar akak denna ko,2025-01-20T05:35:33Z,si
"Ane mata kiyannako HNB eke account eka haduwama eyala ganak kapaganwada mage 600 mulin kapila thibba passe me iye vage rs 40 kapila thibba ay ee..
Ane danna kawurumahari mata kiyannako",2024-10-21T04:55:19Z,si
හලෝ මම මම දාලා තියෙන්නේ තැන්පත් දිනවා නෝමල් තැම්පස්ථිරාව තැන්පත් ගිණුමක් හදන්නේ කොහොමද මම ඒ දේ හදන්නේ මට කොහොමද මගේ වයස වැඩි නිසා හදන්න බැහැ නේද,2024-10-16T08:43:09Z,si
කවදා එකක් ද මේ,2024-10-04T09:50:39Z,si
 10        ,2024-09-29T18:17:01Z,other
Awama mudale sita poli anupathaya penwanna,2024-08-30T06:17:14Z,ta
"Yako 5 percent int.less katha ko yako
.pissa
Api rice kana gavayo no...",2024-08-28T15:17:09Z,other
සම්පත් බැන්කුවේ දින 200ට  9%දෙනවා,2024-08-27T15:46:11Z,si
"Redda,bankuwala Salli daana gon me kaale nehaban ",2024-08-27T11:34:51Z,si
Sampath  bank 9%,2024-08-27T08:35:17Z,other
NSB එකේ 9%යි,2024-08-26T10:32:58Z,si
"රෙද්ද .,boc 8.25ක් දෙනවා ඕනම ගාණට",2024-08-26T10:14:51Z,si
ලක්ෂ 2 දැම්මොත් සාමාන්‍ය විදිහට මාස 3 ස්ථාවර තැන්පතුවක් මාස තුනකින් අපිට කීයක් ලැබෙනවද,2024-08-25T13:53:36Z,si
Estuthi oba tumata danuwath kalata,2024-08-24T13:58:40Z,si
Onama rataka qr payment karanna puluwanda oya app eken,2024-11-10T19:21:36Z,si
Usernema eka nathi unama hoyaganne kohomada,2024-09-29T14:43:19Z,si
46662 Yundt Neck,2024-09-23T05:54:47Z,other
මම solo app එකෙන් QR එක්කට ගෙව්ව එත් එක unsuccessful උනා එත් සල්ලි වැටුන් නැ නේ🥺 එක අයේ ගන්න බැරි වෙයිද,2024-09-15T16:28:51Z,si
Oya okkotama service chage ganwa sali thama okkoma,2024-05-26T09:10:35Z,si
me wallet eke payment karanna giyama error signal ekakne enne,2024-04-01T04:54:48Z,si
තව කෙනෙක්ගෙ බෑන්ක් එකට  සල්ලි යවන්න පුලුවන් ද?,2023-11-02T06:50:00Z,si
Meken wena account ekakta danna berida salli,2023-10-21T12:22:50Z,si
Hello mata කියන්න පුළුවන් da man app eka gaththa eke ඉස්සර welama nick name eka ඊළඟට password eka itapassee illanawa terminal id කියලා ekak ekata mokadda dhanne කියලා kiyanawada man inne rata ane loku udawwak,2023-10-06T19:44:05Z,si
Solo app eken wena bank ecount walata money transfer karana puluwnda,2023-10-04T17:52:56Z,si
Account  එකකට සල්ලි share කරන්නෙ කොහොමද,2023-09-24T07:08:52Z,si
Transaction password eka amathaka mm hadagnne kohomda,2023-09-15T14:44:32Z,si
Hnb account balance eka bala ganna puluvanda,2023-08-21T06:41:55Z,si
1xbet dnn brida,2023-07-26T06:06:14Z,si
Mata oyage whatsApp number eka oni,2023-03-17T11:16:36Z,si
Meke  pin  ekk  illnwne ekt  mokd  den  oni  kiynwd,2023-02-19T12:21:14Z,si
Ayye dan update godak thiyanawa aluth video ekak gennako ewath ekka,2023-02-01T04:02:14Z,si
Ayye app ek mulinma hadnna hadaddi terminal code kiyala code ekk illanawane ek mokdda,2022-11-16T16:55:46Z,si
මේකෙන් ඩයලොග් හෝම් බ්‍රෝඩ්බෑන්ඩ් ගෙවන්න බෑනෙ🤐,2022-10-18T12:18:06Z,si
මේක ආරක්ෂිතද.,2022-09-07T04:16:21Z,si
Mge solo account had awa account balance pennuwa. Eeta passe ac max options eken max kara. Dan Balance 0.00 ne penanne??,2022-08-14T15:28:08Z,si
Aiye solo app eken hnb නොවන wenath banku ginumakata සල්ලි yawaddi අමතර ganak ayawenawada,2022-08-13T11:52:06Z,si
Aiye meke dialog home broadband gewanna puluwanda,2022-07-27T02:15:23Z,si
Aiya mekeng unsuccessfully transaction amount eka kohamada cash back ganne,2022-07-14T14:28:13Z,si
mekata atm caed ekak nethuwa bank account ekak vitharak thibila hariyanne nedda,2022-07-06T15:42:09Z,si
"@Chanux Bro

what is the best app for payment in Sri Lanka 
example :-  Solo app (or) Q+ app (or) wepay

Can you explain the differences between them?",2022-03-04T11:49:26Z,en
Meken bank transfer karanna puluwan da?,2022-01-08T04:19:58Z,si
Api karana transfer wlt ganak kpnwda..?,2021-12-30T06:44:57Z,si
It's excellent,2021-11-05T08:14:30Z,en
Oyage අත විතරයි පෙන්නේ phone eka penne nh,2021-09-18T08:08:28Z,si
5.35 Mona pin tha add karanda one,2021-09-07T09:03:03Z,en
Bank acount ta tarnfar karanna puluvamda,2021-09-01T01:23:55Z,si
Moeny transfer karanna pulivamda,2021-09-01T01:21:15Z,si
Wenath bank akakata gewanne kohomada,2021-08-25T09:26:50Z,other
"mama solo app eka dagattha, mata eka cvv eka mata maga card eka last anka 3n gahanna denne nane, ekata mokada keranne, mokakada e Era eka ???",2021-08-04T17:03:02Z,si
වෙන bank එකකට සල්ලි යවන්න බැරිද,2021-07-17T09:01:19Z,si
Bro me app ekata txt tiyanawadha?,2021-07-06T16:43:54Z,si
Credit cards couldn't add... I tried several times and different cards...,2021-06-17T14:57:21Z,en
Water bill electricity bill gewannath puluwanda,2021-06-12T00:26:43Z,si
direct money transwer karanna puluwanda?,2021-06-11T19:13:31Z,si
Meka flash account eka wageda?ethakota onema bank ekaka account ekak link kranna puluwanda?,2021-06-11T18:52:21Z,si
Vena bank ekakta salli transar krnne komda,2021-06-07T04:14:16Z,si
Me welawe hetiyta loku udawwk una.me video eka.thank you so much.,2021-06-05T05:37:54Z,si
"Me peoples bank account eka PayPal ekatai ,google AdSense ekata link karana video ekak danna puluwanda ?",2021-05-31T11:01:11Z,si
2000 like eka magen ,2021-05-29T13:02:19Z,si
Wena ewata transfer  karanna puluwanda,2021-05-25T08:53:26Z,si
Niyamai ..,2021-05-23T13:23:24Z,other
Account eke salli thiyenna oneda?,2021-05-23T03:24:16Z,si
අනේ කවුරු හරි කියනවද solo app එකෙන් වෙන bank එහෙක account එහෙකට සල්ලි දාාන්නෙ කොහොමද කියල ලොකු උදව්වක්,2021-05-06T06:49:13Z,si
Hnb digital app gana krnnko,2021-04-16T04:46:30Z,si
Meka app eke pitaratakata wadakaranawada lankawe account ekakata add karoth,2021-03-26T11:06:15Z,si
,2021-03-14T15:02:42Z,
One of the best app i got,2021-03-14T14:32:32Z,en
This is the best digital wallet I have used in Sri lanka. Has made payments 100 times easier by HNB.,2021-03-02T16:58:50Z,en
M,2021-03-01T18:27:04Z,other
Ayye shop ekakata gihilla hariwidiyata phone eken pay karana widiya gana video ekak karanna,2021-03-01T17:40:04Z,si
SOLO by HNB ,2021-02-26T08:26:26Z,other
Chanux aiyee oya phone ekak reset karana eka pilibadawa video ekak karannakooo. Eka 4n ekata hodada nadda kiyalawath danaganna. From android 4n,2021-02-26T06:53:23Z,si
Solo niyamai... ez cash app eke thiyenawa ape wallet ekata QR ekak.. e wage Solo wallet ekata salli ganna puluwam wenna QR ekak denawanan hondai..,2021-02-25T17:03:30Z,si
සුපිරි ,2021-02-24T17:12:18Z,si
Huawei y7a eke login wennabane error enawa,2021-02-24T02:46:24Z,si
Wireless headset ගැන විඩියෝ එකක් කරන්න පුළුවන් ද,2021-02-24T01:59:37Z,si
Chanux academy eke programming nawaththapu තැනින් patan ganna,2021-02-23T04:58:40Z,si
Hi අයියා,2021-02-22T15:39:22Z,si
මමත් use කරනවා. පට්ට ලේසි. (Example-SLT Bill එකේ QR එක scan කරාම ගානත් auto වැටෙනවා. Finger print එක දෙන්න විතරයි තියෙන්නෙ. ),2021-02-22T15:03:12Z,si
,2021-02-22T13:02:07Z,
Aiya me online free fire video ekak  ada havasa danndako please,2021-02-22T06:00:35Z,si
අයියේ ඔයාට පුලුවන්නම්. පෝන් එකේ ඩිස්පෙලෙ එක ටිවි එකට ගන්න පුලුවන් විදිහේ විඩියෝ එකක් කරන්නකෝ. දැන් තියෙන ඔනම පෝන් එක්කට සෙට් වෙන ඔනම ටීවි එක්කට සෙට් වෙන කේබල් එකක් කියන්න. USB  නැතුව,2021-02-22T02:27:17Z,si
ලංකා qr ස්කෑන් කරලම ඕකෙන්  pay කරතහකිද,2021-02-22T01:58:05Z,si
වෙන bankවල trance and bill paymentවල දී feeඑකක් add වෙනවා ද,2021-02-22T01:08:36Z,si
Anee aiye podi awlak phon ekee puluwan nann danma udawwak ooona call gaddi aiye watenawa not  registered on network kiyala call gannath baa enneth naa puluwan  udawwak aiye,2021-02-21T23:42:46Z,si
ඉංග්‍රීසි මුල සිට ම ඉගෙනගන්න අප හා එක්වන්න,2021-02-21T18:39:54Z,si
Anuk de silva ,2021-02-21T11:53:05Z,other
අය්යෙ studio tour එකක් දෙන්නකො.studio එකක් හදන්න ideas ගන්න ඕන.,2021-02-21T11:43:25Z,si
,2021-02-21T09:33:41Z,
Niyamai  chanux අයියේ,2021-02-21T06:28:11Z,si
seller kenek kohomada meka araganne? online payment gateway 1k ganna bari insta walin wage business karana or podiyata website ekak hadala  business karana ayata meka eyalage business ekata use karanna bari da?,2021-02-21T05:42:34Z,si
download kara use kare na thaa,2021-02-21T04:37:26Z,other
bank to bank pay karanna pluwanda,2021-02-21T04:28:29Z,si
The application is not in App Store for iPhones,2021-02-21T00:12:07Z,en
Solo app eken salli sheya karanna berida wena bank account walata...aiya,2021-02-20T16:33:05Z,si
Patta app ekk,2021-02-20T16:20:51Z,other
පට්ට,2021-02-20T15:56:33Z,si
Niyama solo app eka ..ratama kamathi da koheda,2021-02-20T15:15:47Z,si
This will lead us to a new era...,2021-02-20T14:24:13Z,en
,2021-02-20T13:30:56Z,
Can you tell me how to find out if our phone is infected?,2021-02-20T12:34:25Z,en
https://youtu.be/UsaRtWsNDt4,2021-02-20T11:53:53Z,other
පට්ට!!!,2021-02-20T11:53:19Z,si
Ayiye koo gold play botton eka.,2021-02-20T10:56:33Z,si
Poco m3 review ekak dannako,2021-02-20T10:06:28Z,si
Hudek mage me wyayamaya raja sapa pinisa nowana athra chanux bro gen reply ekak bala poroththuwen bawa karunawen salakanna,2021-02-20T09:55:07Z,si
නියමයි,2021-02-20T09:49:44Z,si
Pubg ගහන අය like එකක් දාලා ID එක දීලා යන්න කෝ,2021-02-20T09:39:24Z,si
Bank transfer karanna beridha?,2021-02-20T09:25:56Z,si
super ,2021-02-20T09:08:57Z,en
heart එකක් දැන්වත් pls දාන්නko chanux aiye,2021-02-20T08:39:24Z,si
wena monawa kiyannada ela kollek,2021-02-20T08:17:22Z,ta
2021 අලුත්ම සින්දුව මෙන්න https://youtu.be/ZrjhfHH0hzg,2021-02-20T07:55:44Z,si
අනේ  DJI  Mavic mini 2  ගැන  unboxing  එකක්  ගේන්න්කෝ,2021-02-20T07:36:21Z,si
Uba video okama balatiyanawa asawatama habai oya unboks karana okama tackgajate mata hinayake vitharai aiya,2021-02-20T07:36:16Z,si
UnBOXING video ekak one plz,2021-02-20T07:34:45Z,si
ගූ bank එකක් hnb කියන්නෙ,2021-02-20T07:20:32Z,si
Oyage number akak danna puluwan da,2021-02-20T07:08:51Z,si
"Ayiye podi prashnayak,oyata poddak katha karala dena ganna ona plss",2021-02-20T07:08:15Z,si
Ane ayye gold play button eka unbox korannako,2021-02-20T06:58:52Z,si
Enne kohomada,2021-02-20T06:37:07Z,other
Aiiye phone ekata software update ewanne kohenda,2021-02-20T06:36:51Z,si
Alienware laptop gena video ekak karannako aiye,2021-02-20T06:19:04Z,si
Super chanux bro,2021-02-20T06:03:33Z,other
Keep it up superb chanux අයියේ,2021-02-20T05:49:05Z,si
You tube free Nam upload freeda bro,2021-02-20T05:47:49Z,en
මම මේක භාවිතා කරනවා ගොඩක් හොඳයි .,2021-02-20T05:42:53Z,si
එල කොල්ලෝ ,2021-02-20T05:08:51Z,si
9  \c,2021-02-20T04:43:42Z,other
"නියමයි,ගොඩාක් වටිනවා.",2021-02-20T04:23:35Z,si
Chanux aiya ape HNB debit card eke thiyena mudal pramanaya dena ganna berida oken .,2021-02-20T03:56:25Z,si
අදත් ආවා,2021-02-20T03:48:36Z,si
https://youtube.com/channel/UCzLCgksSQHNw_bShWMdBxzA,2021-02-20T03:41:02Z,other
,2021-02-20T03:26:48Z,
ane aiye GTA 5  game play one,2021-02-20T03:20:05Z,other
සබ්ස්ක්රය්බ්  1000   ගන්න  විදිය   දාන්න   වීඩියෝ 1  ඕනි,2021-02-20T03:19:35Z,si
එක වැදගත් නෑ මගේ වයස අවුරුදු දාහතරයි,2021-02-20T03:13:44Z,si
"goldenplay button eka unbox karanna niyamithai kiyalath dan maasayak wenawa
koo chanux eka",2021-02-20T03:11:16Z,si
වෙන bank ekkt diposhit krnn..පුලුවන් ද..,2021-02-20T03:07:06Z,si
Diposhit puluwn dd..,2021-02-20T03:06:11Z,si
Ayye huawei y7A phone eka ganath one,2021-02-20T02:57:37Z,si
Ayye huawei y7A phone eka ganath oneeeee,2021-02-20T02:57:02Z,si
HNB account එකක් නැතුව වෙන bank account  එකක්  ඕකට ඇඩ් කරලා payment කරාම එයාලා අපේ account eken ගානක් කපා ගනීද.,2021-02-20T02:55:08Z,si
Fortnite gameply ekak one ayako,2021-02-20T02:49:29Z,si
"Apahu"" sinhala geek show ekata එහෙමත් නැත්තං chanux bro youtube chanel ekata kiyana kallata"" කැමති aya ko",2021-02-20T02:47:49Z,si
can i use this app offline?,2021-02-20T02:36:23Z,en
Video එක නම්. හොදයි අය්යේ මේ. ගේම් එක ගැන video එකක් කරන්නකෝ. Cutie garden,2021-02-20T02:25:51Z,si
Video එක නම්. හොදයි අය්යේ මේ. ගේම් එක ගැන video එකක් කරන්නකෝ. Cutie garden,2021-02-20T02:25:51Z,si
🤝,2021-02-20T02:02:48Z,other
,2021-02-20T01:44:09Z,
good everyone need this in these days,2021-02-20T01:40:43Z,en
apinam ready,2021-02-20T01:37:50Z,other
Wow,2021-02-20T01:37:28Z,en
ඕකෙන්ම bank account ekaka හදාගන්න පුළුවන් ද,2021-02-20T01:37:19Z,si
,2021-02-20T01:31:53Z,
https://youtu.be/Gnjpzf9nwv8,2021-02-20T01:15:46Z,other
පුලුවන් අය මට subscribe 500ක් ගන්න උදව් කරන්න මමත් අවංකවම උදව් කරනවා,2021-02-20T01:15:39Z,si
පුලුවන් අය මට subscribe 500ක් ගන්න උදව් කරන්න මමත් අවංකවම උදව් කරනවා,2021-02-20T01:15:32Z,si
පුලුවන් අය මට subscribe 500ක් ගන්න උදව් කරන්න මමත් අවංකවම උදව් කරනවා,2021-02-20T01:15:26Z,si
ps5 ultimate gaming setup ekath dannakoo,2021-02-20T01:13:16Z,si
"One of the the best app I got
So many offers & easy payment methods
Best wallet app ",2021-02-20T01:03:21Z,en
Nice bro,2021-02-20T00:54:20Z,other
Supper  app  eka.,2021-02-20T00:50:52Z,si
Ado one plus nord gane danpko vidio ekk,2021-02-20T00:25:01Z,other
Niyamai aiya.,2021-02-19T23:24:50Z,si
app story eke nane app eka,2021-02-19T22:42:45Z,si
".has anybody here watched ""Nervous so much"" on youtube ??? 🤣🤣🤣",2021-02-19T21:45:45Z,en
Mge tec hero,2021-02-19T19:46:41Z,si
,2021-02-19T19:42:45Z,
Mata sapota  karannako,2021-02-19T19:21:51Z,si
Good,2021-02-19T19:17:27Z,en
,2021-02-19T19:16:34Z,
anuka di silwa kiyanne kauda aiye,2021-02-19T19:02:25Z,si
"I don't like to know about mobile phones & technology .
Btw I love to listen  Chanux ayya's speaking way and love to watch his all videos ",2021-02-19T19:02:12Z,en
"*තෙරුවන්සරණයි! යාලුවනේ*

*තවත් කෙනෙක්ගේ දියුණුවක් දැකලා හදවතින්ම සතුටු වෙන්න පුලුවන් ආදරණීය හදවත්වලින් ඉල්ලන අහිංසක ඉල්ලිමක්*

*නිදහසේ අහන්න පුලුවන් ලස්සන සිංදු ටිකක් මගේ චැනල් එකේ තියෙනවා, ඇවිත් බලන්න, හොදයිනම්  සහයෝගයක් දෙන්න.සහයෝගය ඕනී යාලුවොත් එන්න comment එකක් දාන්න*

*තෙරුවන්සරණයි! 
පරිස්සමෙන් ඉන්න*.....",2021-02-19T19:01:43Z,si
Chargers?,2021-02-19T18:36:24Z,en
236 Comment 718 Like.,2021-02-19T18:29:27Z,en
Samsung Note 20 ultra එක හැදුවද? Chanux bro,2021-02-19T18:23:42Z,si
🤣,2021-02-19T18:22:03Z,other
HNB na bro 🤐,2021-02-19T18:17:23Z,other
Aiye onama bank account ekak add karanna puluwanda,2021-02-19T18:09:32Z,si
"Niyama app ekak supiri 
Thank you chanux aiye",2021-02-19T18:06:22Z,si
වැඩිම like ප්‍රමාණයක් තියෙන comment එකක් සහ chanux අයියා ගෙන් love එකක් එකක් ගන්න බලාගෙන ඉන්න අය කවුද ? ,2021-02-19T17:56:41Z,si
ඔකෙන් පුලුවන්ද රීලොඩ් දගන්නත්,2021-02-19T17:45:58Z,si
Bank transfer karanna option ekak nene app eke. Eka thamai aula.,2021-02-19T17:40:23Z,si
සුපිරි සුපිරි ,2021-02-19T17:34:53Z,si
"එල එල  chanux 
",2021-02-19T17:33:52Z,si
Chanux ,2021-02-19T17:23:57Z,other
කෝ බලන්න හැමදාම chanux ගේ videos බලන කට්ටිය,2021-02-19T17:23:56Z,si
නිදාගන්න හැදුවා විතරයි අනෙ,2021-02-19T17:20:39Z,si
Nidiyanna yaddi me video eka balapu kattiya me konata,2021-02-19T17:18:27Z,si
Adeh,2021-02-19T17:17:04Z,other
pavichi karala thiyana wa,2021-02-19T17:16:44Z,other
Super video.,2021-02-19T17:16:06Z,en
ela kollo,2021-02-19T17:11:01Z,other
තේ එකක් බිස්කට් එකක් අරගෙන ලෑස්ති වෙන්න දෙයක් නෑ රෑට කාලා ඉන්නේ. 🤣🤣🤣🤣🤣,2021-02-19T17:10:13Z,si
patta,2021-02-19T17:09:33Z,en
අයියා huawei celia  assistant gana video ekak oni,2021-02-19T17:09:28Z,si
I trust u,2021-02-19T17:05:27Z,en
Lanka qr tiyenne kohed?,2021-02-19T17:02:50Z,other
Super,2021-02-19T17:00:51Z,en
Superb ,2021-02-19T16:58:53Z,en
whatapp unband karanna khda,2021-02-19T16:57:32Z,si
chanux ayiya gan thama  akak ganna Bari Una aya ko ,2021-02-19T16:57:20Z,si
Razer laptops gana video ekak one,2021-02-19T16:55:42Z,si
golden button කපරක්කුඉ පරක්කුයි කියන කට්ටිය  like එකක් දාගෙනයන්න,2021-02-19T16:55:41Z,si
Ela,2021-02-19T16:55:23Z,other
Chanux ayye mn laga 26800mAh battery ekak tiyena phone ekak tiyenwa habay display gihilla display ekak hoyaganna na ,2021-02-19T16:54:51Z,si
කෝ අනේ gold button එක..🤔🤔🤨,2021-02-19T16:53:31Z,si
kawda chanux brota kemithi like karana yata,2021-02-19T16:53:26Z,si
ජයවේවා ,2021-02-19T16:53:13Z,si
"🥂.
අහලා බලන්න ඇසිපියන් 
https://youtu.be/ORtzCwgcvE0
සම්පූර්ණ ගීතයම රසවිඳ, හොඳයි නම් channel එකත් sub කරලා ගීතයේ හොඳ නරක comment එකකින් කියන්න 
ඔබට ජය ",2021-02-19T16:52:55Z,si
Supiri video ekak chanux bro bannema hida ewa..,2021-02-19T16:51:26Z,si
https://youtu.be/V7nHWHneo3c,2021-02-19T16:50:51Z,other
Ape mudal walata lebena arakshawa kohomada?video ekak danna,2025-05-11T14:31:37Z,si
bank wala labagena athi rate kohomada dannako,2025-05-11T14:20:13Z,si
මගේ HNB ගිණුමක් තියෙනවා කොහොමද තැන්පතුවක් දාගන්නෙ.  මම ඉන්නෙ පිටරට,2025-05-09T13:59:52Z,si
ඉඩම් උකස් පොලී අනුපාතය කීයද  hnb,2025-05-01T14:23:54Z,si
Ahurudu..2kata..dala..masan..poliya..ganna..laksa..39kta..keyada,2025-04-24T08:49:31Z,si
අද,2025-02-27T16:10:27Z,si
Sishshathweta thegi dennedda oyala  anith bank wala denawa.,2025-01-31T15:52:19Z,si
විශ්‍රාමිකයන්ට සාදාරන පොලියක් ලබා දෙන්න,2025-01-29T04:41:19Z,si
බෙහෙවින්ම ස්තුතියි දැනුවත් කිරීම ගැන ඔබතුමාට ,2025-01-22T10:07:20Z,si
"මේවා වැඩකට ඇති පොලි නොවේ.විශ්‍රාමිකයින් ට අඩු ගානේ 11%,12% වත් දෙන බැංකුව ක් ගැන දැනුවත් කරන්න. එහෙම නැතිනම් භාන්ඩාගාර බිල් පත් වල විශ්වාසයක් ඇත්ව මුදල් ආයෝජනය කල හැකි ක්‍රමයක් කියා දෙන්න.මේවා හැමදාම කියන බයිලානේ.ස්තුති .",2025-01-22T09:28:03Z,si
"Anay..may..boru danna. Apa..YouTube..akay..saile..hoyanawa 

Borukarayo",2025-01-20T10:53:26Z,si
ඔයා කියන දේ කිසිම වැදගත් කමක් නැත.,2025-01-20T06:54:00Z,si
Boru baila..mewa balala ape kalaya nasthi wenawa..pissu,2025-01-19T19:28:38Z,si
Ma tikiri Lankawa... Badupoliya adukalada,2025-01-19T14:59:53Z,other
රට ඉන්න කෙනෙක්ට ගොඩක් ස්තූතියි දැනුවත් කිරිමට කොහොමද ගිණුමක් ඕපන් කරන්නෙ,2025-01-19T14:19:45Z,si
 ලැබෙන පොලි අනුපාතය ගණනය කරලා තියෙන්නේ ඔයා බදු මුදල් අයින් කරලද?,2025-01-19T09:59:57Z,si
Pass එක මුලිම්ම ඉල්ලන්නෙ අපෙ කාඩ් එකෙ අංක 6 ද,2025-02-24T03:44:05Z,si
Watina vidieo ekk digatama oya wage watima widieo tikk genna,2025-01-09T14:22:28Z,ta
Nickname ekata mokada danne,2025-01-02T03:59:13Z,si
Nice content ,2024-11-26T04:08:12Z,en
"frimi aluth update eke full function vedio ekak genna, aluth debit card eke design ekath pennanna pulwnda",2024-11-17T16:04:51Z,si
වීඩියෝ එකක් හොය මින් ඉද්දි දැක්කෙ දැන් දාලා තියෙන්නේ  ,2024-10-05T06:11:58Z,si
,2024-10-05T03:53:12Z,
ohoma karala Othanadi enter karanna ena coad ekamada api card eka dala salli gannakotath enter karanna ona,2025-05-17T00:09:11Z,si
Ethakota bilak 4n ekata enawada,2025-05-10T01:33:30Z,si
Danawd?,2025-03-24T08:14:03Z,other
Bro hnb ek add karapu acc delete karn puluwand,2025-03-24T08:13:52Z,si
,2025-01-12T06:56:50Z,
,2025-01-08T13:43:24Z,
Money market ginum kramaya tiyenne  privet banku wala vitaraida.,2024-08-17T01:47:21Z,si
ලක්ශ 60 ක් දැම්මොත්  අවුරුද්දට කොච්චර පොලියක් හැදෙනවද,2024-07-13T08:28:25Z,si
Money market අවදානම්,2024-07-09T10:41:28Z,si
e kiwwe laksa 5k mammoth master 35k enawa kiyalada,2024-07-09T08:02:12Z,si
Perez Kenneth Miller Scott Thompson Sharon,2024-09-24T07:01:43Z,en
Without card? How,2024-12-26T21:05:05Z,en
ATM Fee saver app is very helpful for every traveller :),2023-06-22T20:05:09Z,en
"Video Pudichi Irrutha Like Share Pannuga 
Travel Tech Family..",2021-05-22T15:00:02Z,en
"Reserve reference na enna 
My reference na enna bro and athila nanga enna kudukkanum",2025-04-23T04:40:18Z,ta
one digital banking app la 2 accounts Epdi maintain pannalam?,2025-04-10T14:20:14Z,ta
Brother hnb digital banking use pani bank account open panamudiyuma,2025-01-01T06:44:23Z,other
Hnb digital banking App I'll name change Panna mudijuma,2024-12-12T06:32:24Z,ta
Gi ithu account open pannure techniquea,2024-12-10T01:27:02Z,ta
Thanks,2024-11-16T12:43:57Z,en
