Sentence,entities
Products to Help You Grow,[]
Sri Lanka leading integrated financial service provider HNB Finance established water purification system and renovated the Mohoththuwarama Pri,"[['Sri Lanka', 'GPE', 0, 9], ['HNB Finance', 'ORG', 56, 67]]"
HNB Finance is subsidiary of Hatton National Bank PLC and continues to operate with an unblemished record of almost two decades as leader in the finance industry with diverse portfolio of financial products and services,"[['HNB Finance', 'ORG', 0, 11]]"
HNB FINANCE PLC appoints Mr Rajive Dissanayake as Chairman,"[['HNB FINANCE PLC', 'ORG', 0, 15], ['Rajive Dissanayake', 'PERSON', 28, 46]]"
HNB FINANCE has been an immense strength to our lives,"[['HNB FINANCE', 'ORG', 0, 11]]"
Services That Offer You Convenience and Flexibility HNB Finance PLC Strength Born of Strength HNB Finance is subsidiary of Hatton National Bank PLC and continues to operate with an unblemished record of almost two decades as leader in the finance industry with diverse portfolio of financial products and services Products to Help You Grow Shaping your future with products that encourage growth Success Stories Our keen focus on entrepreneurs across the country enables us to boost SME SSE communities to reach their full potential HNB FINANCE has been an immense strength to our lives HNB FINANCE has been our financial partner for over years now Therefore we have been able do business according to so enjoy the benefit of obtaining money for the business while saving As was able to get loan without any guarantors through Swashakthi Savings was able to easily get the money needed About Us pioneering financial institution fuelled by passionate team that aims to provide customer centric well diversified products and services in responsible and sustainable way Customers Employees Branches Mehewara CSR Projects The Mehewara fund is series of ongoing CSR projects that helps our customers in need The fund is maintained with the financial contribution of our dedicated employees and the organisation HNB Finance creates an oasis in Mohoththuwarama Primary School Sri Lanka leading integrated financial service provider HNB Finance established water purification system and renovated the Mohoththuwarama Pri News Updates Read our latest news and updates HNB FINANCE appoints Anura Pathirage to Board of Directors HNB FINANCE PLC appoints Mr Rajive Dissanayake as Chairman HNB FINANCE clinches Bronze at TAGS Awards HNB FINANCE appoints Dr Prasad Samarasinghe to Board of Directors HNB FINANCE appoints Anura Pathirage to Board of Directors HNB FINANCE PLC appoints Mr Rajive Dissanayake as Chairman HNB FINANCE clinches Bronze at TAGS Awards HNB FINANCE appoints Dr Prasad Samarasinghe to Board of Directors HNB FINANCE appoints Anura Pathirage to Board of Directors HNB FINANCE PLC appoints Mr Rajive Dissanayake as Chairman prev next Great Place To Work Certified TAGS Awards,"[['HNB Finance PLC', 'ORG', 52, 67], ['SME', 'ORG', 483, 486], ['SSE', 'ORG', 487, 490], ['HNB FINANCE', 'ORG', 533, 544], ['HNB FINANCE', 'ORG', 587, 598], ['Swashakthi Savings', 'PRODUCT', 827, 845], ['HNB Finance', 'ORG', 1425, 1436], ['HNB', 'ORG', 1559, 1562], ['Anura Pathirage to Board', 'ORG', 1580, 1604], ['HNB FINANCE PLC', 'ORG', 1618, 1633], ['Rajive Dissanayake', 'PERSON', 1646, 1664], ['HNB', 'ORG', 1677, 1680], ['TAGS Awards', 'PRODUCT', 1708, 1719], ['Samarasinghe to Board', 'ORG', 1751, 1772], ['Anura Pathirage to Board', 'ORG', 1807, 1831], ['HNB FINANCE PLC', 'ORG', 1845, 1860], ['Rajive Dissanayake', 'PERSON', 1873, 1891], ['HNB', 'ORG', 1904, 1907], ['TAGS Awards', 'PRODUCT', 1935, 1946], ['Samarasinghe to Board', 'ORG', 1978, 1999], ['Anura Pathirage to Board', 'ORG', 2034, 2058], ['HNB FINANCE PLC', 'ORG', 2072, 2087], ['Rajive Dissanayake', 'PERSON', 2100, 2118]]"
Products to Help You Grow Shaping your future with products that encourage growth,[]
HNB FINANCE has been our financial partner for over years now Therefore we have been able do business according to so,"[['HNB FINANCE', 'ORG', 0, 11]]"
HNB FINANCE appoints Anura Pathirage to Board of Directors,"[['HNB FINANCE', 'ORG', 0, 11], ['Anura Pathirage to Board of Directors', 'ORG', 21, 58]]"
enjoy the benefit of obtaining money for the business while saving As was able to get loan without any guarantors through Swashakthi Savings was able to easily get the money needed,"[['Swashakthi Savings', 'PRODUCT', 122, 140]]"
Shaping your future with products that encourage growth,[]
Our keen focus on entrepreneurs across the country enables us to boost SME SSE communities to reach their full potential,"[['SME', 'ORG', 71, 74], ['SSE', 'ORG', 75, 78]]"
HNB Finance creates an oasis in Mohoththuwarama Primary School,"[['HNB Finance', 'ORG', 0, 11], ['Mohoththuwarama Primary School', 'PRODUCT', 32, 62]]"
HNB Finance creates an oasis in Mohoththuwarama Primary School Sri Lanka leading integrated financial service provider HNB Finance established water purification system and renovated the Mohoththuwarama Pri,"[['HNB Finance', 'ORG', 0, 11], ['HNB Finance', 'ORG', 119, 130]]"
HNB Finance PLC Strength Born of Strength HNB Finance is subsidiary of Hatton National Bank PLC and continues to operate with an unblemished record of almost two decades as leader in the finance industry with diverse portfolio of financial products and services,"[['HNB Finance PLC', 'ORG', 0, 15]]"
Mehewara CSR Projects The Mehewara fund is series of ongoing CSR projects that helps our customers in need The fund is maintained with the financial contribution of our dedicated employees and the organisation HNB Finance creates an oasis in Mohoththuwarama Primary School Sri Lanka leading integrated financial service provider HNB Finance established water purification system and renovated the Mohoththuwarama Pri,"[['Mehewara CSR Projects', 'SERVICE', 0, 21], ['HNB Finance', 'ORG', 329, 340]]"
pioneering financial institution fuelled by passionate team that aims to provide customer centric well diversified products and services in responsible and sustainable way,[]
Read our latest news and updates,[]
Mehewara CSR Projects The Mehewara fund is series of ongoing CSR projects that helps our customers in need The fund is maintained with the financial contribution of our dedicated employees and the organisation,"[['Mehewara CSR Projects', 'SERVICE', 0, 21]]"
As was able to get loan without any guarantors through Swashakthi Savings was able to easily get the money needed,"[['Swashakthi Savings', 'PRODUCT', 55, 73]]"
About Us pioneering financial institution fuelled by passionate team that aims to provide customer centric well diversified products and services in responsible and sustainable way Customers Employees Branches,[]
News Updates Read our latest news and updates,"[['News Updates Read', 'PRODUCT', 0, 17]]"
The Mehewara fund is series of ongoing CSR projects that helps our customers in need The fund is maintained with the financial contribution of our dedicated employees and the organisation,"[['Mehewara', 'ORG', 4, 12]]"
Great Place To Work Certified TAGS Awards,[]
About Us pioneering financial institution fuelled by passionate team that aims to provide customer centric well diversified products and services in responsible and sustainable way,[]
enjoy the benefit of obtaining money for the business while saving,[]
Great Place To Work Certified,[]
