Sentence,keybert_keyphrases,yake_keywords,embedrank_keywords
HNB FINANCE has been our financial partner for over years now Therefore we have been able do business according to so,"['hnb finance financial', 'financial partner', 'partner years able', 'business according', 'able']",[],"['hnb finance financial', 'financial partner', 'partner years able', 'business according', 'able']"
HNB FINANCE appoints Anura Pathirage to Board of Directors,"['hnb finance appoints', 'finance appoints anura', 'anura pathirage', 'directors', 'board']",[],"['finance appoints anura', 'hnb finance appoints', 'anura pathirage', 'directors', 'board']"
enjoy the benefit of obtaining money for the business while saving As was able to get loan without any guarantors through Swashakthi Savings was able to easily get the money needed,"['swashakthi savings able', 'obtaining money business', 'able loan', 'guarantors', 'enjoy']",[],"['swashakthi savings able', 'obtaining money business', 'guarantors', 'able loan', 'enjoy']"
Shaping your future with products that encourage growth,"['products encourage growth', 'future products', 'shaping future', 'encourage', 'shaping']",[],"['products encourage growth', 'shaping future', 'future products', 'shaping', 'encourage']"
Our keen focus on entrepreneurs across the country enables us to boost SME SSE communities to reach their full potential,"['keen focus entrepreneurs', 'sse communities reach', 'country enables boost', 'potential', 'sme']",[],"['sse communities reach', 'sme', 'keen focus entrepreneurs', 'country enables boost', 'potential']"
HNB Finance creates an oasis in Mohoththuwarama Primary School,"['hnb finance creates', 'mohoththuwarama primary school', 'primary', 'creates oasis', 'oasis mohoththuwarama']",[],"['mohoththuwarama primary school', 'oasis mohoththuwarama', 'hnb finance creates', 'creates oasis', 'primary']"
HNB Finance creates an oasis in Mohoththuwarama Primary School Sri Lanka leading integrated financial service provider HNB Finance established water purification system and renovated the Mohoththuwarama Pri,"['hnb finance established', 'water purification', 'mohoththuwarama primary school', 'creates oasis', 'service provider']",[],"['hnb finance established', 'mohoththuwarama primary school', 'water purification', 'creates oasis', 'service provider']"
HNB Finance PLC Strength Born of Strength HNB Finance is subsidiary of Hatton National Bank PLC and continues to operate with an unblemished record of almost two decades as leader in the finance industry with diverse portfolio of financial products and services,"['hnb finance subsidiary', 'strength born strength', 'industry diverse', 'continues operate', 'record decades']",[],"['hnb finance subsidiary', 'strength born strength', 'continues operate', 'industry diverse', 'record decades']"
Mehewara CSR Projects The Mehewara fund is series of ongoing CSR projects that helps our customers in need The fund is maintained with the financial contribution of our dedicated employees and the organisation HNB Finance creates an oasis in Mohoththuwarama Primary School Sri Lanka leading integrated financial service provider HNB Finance established water purification system and renovated the Mohoththuwarama Pri,"['projects mehewara fund', 'series ongoing csr', 'water purification', 'service provider', 'creates oasis']",[],"['projects mehewara fund', 'series ongoing csr', 'water purification', 'creates oasis', 'service provider']"
pioneering financial institution fuelled by passionate team that aims to provide customer centric well diversified products and services in responsible and sustainable way,"['pioneering financial institution', 'responsible sustainable way', 'team aims provide', 'centric diversified products', 'fuelled passionate']",[],"['pioneering financial institution', 'centric diversified products', 'fuelled passionate', 'team aims provide', 'responsible sustainable way']"
Read our latest news and updates,"['read latest news', 'latest news updates', 'latest', 'updates', 'read']",[],"['read latest news', 'latest news updates', 'updates', 'latest', 'read']"
Mehewara CSR Projects The Mehewara fund is series of ongoing CSR projects that helps our customers in need The fund is maintained with the financial contribution of our dedicated employees and the organisation,"['projects mehewara fund', 'series ongoing csr', 'maintained financial', 'helps customers need', 'employees']",[],"['projects mehewara fund', 'series ongoing csr', 'maintained financial', 'helps customers need', 'employees']"
As was able to get loan without any guarantors through Swashakthi Savings was able to easily get the money needed,"['loan guarantors swashakthi', 'swashakthi savings able', 'easily money needed', 'savings', 'able easily']",[],"['swashakthi savings able', 'loan guarantors swashakthi', 'savings', 'easily money needed', 'able easily']"
About Us pioneering financial institution fuelled by passionate team that aims to provide customer centric well diversified products and services in responsible and sustainable way Customers Employees Branches,"['pioneering financial institution', 'customers employees branches', 'centric diversified products', 'team aims', 'fuelled passionate']",[],"['pioneering financial institution', 'customers employees branches', 'fuelled passionate', 'centric diversified products', 'team aims']"
News Updates Read our latest news and updates,"['news updates read', 'read latest news', 'updates', 'latest', 'read']",[],"['news updates read', 'read latest news', 'updates', 'latest', 'read']"
The Mehewara fund is series of ongoing CSR projects that helps our customers in need The fund is maintained with the financial contribution of our dedicated employees and the organisation,"['mehewara fund', 'customers need fund', 'csr projects helps', 'dedicated employees organisation', 'series ongoing']",[],"['mehewara fund', 'customers need fund', 'csr projects helps', 'dedicated employees organisation', 'series ongoing']"
Great Place To Work Certified TAGS Awards,"['certified tags awards', 'place work certified', 'tags', 'great place', 'work']",[],"['certified tags awards', 'place work certified', 'great place', 'tags', 'work']"
About Us pioneering financial institution fuelled by passionate team that aims to provide customer centric well diversified products and services in responsible and sustainable way,"['pioneering financial institution', 'responsible sustainable way', 'team aims provide', 'centric diversified products', 'fuelled passionate']",[],"['pioneering financial institution', 'fuelled passionate', 'team aims provide', 'centric diversified products', 'responsible sustainable way']"
enjoy the benefit of obtaining money for the business while saving,"['money business saving', 'obtaining money business', 'benefit obtaining', 'business', 'enjoy']",[],"['money business saving', 'obtaining money business', 'benefit obtaining', 'enjoy', 'business']"
Great Place To Work Certified,"['place work certified', 'great place work', 'work', 'place', 'great']",[],"['place work certified', 'great place work', 'place', 'work', 'great']"
