comment,aspect,published_at
Bro enda phone La hnb digital banking app support panala enda phone model j2 2015 model ethula entha app support pannatha,Customer Support,2021-05-23T06:54:33Z
Bro airtel time based pakkege irukka,Customer Support,2021-05-23T04:24:04Z
Alibaba online shopping app சம்மந்தமாகவும் ஒரு பொருளை எவ்வாறு வாங்குவது பற்றி Video போடுங்க bro.... Pls.....,Digital Banking Experience,2021-05-22T15:47:59Z
"Credit card epdi edukura bro plz bro tell me
EMI la epdi product vankuran plz",Loans and Credit Services,2021-05-22T15:33:12Z
Ez cash topup karanna baa needa,Transactions and Payments,2024-04-27T12:57:07Z
Bank account number eke 15 digits thiyenw.. app eka 12 digits.. ethkot mk,Digital Banking Experience,2024-03-20T03:36:01Z
වැඩිම  ගාණ කීයක් ද,Transactions and Payments,2024-02-22T10:59:47Z
Debit card number kiyana ekata mokakkda denne,Digital Banking Experience,2023-11-05T12:18:04Z
ඇප් එක හාදාගන්න බැනෙ,Digital Banking Experience,2023-11-01T15:19:55Z
අයියෙ බ්‍රාන්ච් නේම් එකයි නමයි බලා ගන්නෙ කොමද,Digital Banking Experience,2023-10-30T10:32:24Z
Fund transfer ekt yanna bane😢msg ekak enwne ynn bane,Transactions and Payments,2023-09-28T14:19:42Z
අයියෙ  වෙන බැන්කු වලින් පුළුවන්ද     වෙන ගිනුමකට සල්ලි දාන්න,Loans and Credit Services,2024-03-06T17:04:11Z
Debit card එකෙන් ඉන්ධනහලකට සහ සාප්පුවකට ගිහිං ගෙවීම් කරන විදිහ සම්බන්ධව video එකක් කරන්ඩකො මිත්‍රයා. ග්‍රාමිය ජනතාවට තාම මේ දේවල් ගැන අවබෝධය අඩුයි.,Transactions and Payments,2024-01-06T11:16:19Z
😢ග්‍රාමීය බැංකුව සල්ලි ගන්න විදිය,Loans and Credit Services,2023-11-24T06:55:45Z
Aiye NSB ATM card eke salli ganna widiha kiyala dennko,Digital Banking Experience,2023-11-23T06:32:35Z
Card eke pin number eka wenas karanna puluwan da,Digital Banking Experience,2023-11-22T18:39:47Z
ATM කාඩ් එක සල්ලි කැපෙන වද,Transactions and Payments,2023-11-16T03:27:46Z
බැංකුවේ පොත ATM කාඩ් එක ආරබ කරන්නේ කොහොමද,Transactions and Payments,2023-11-16T03:26:23Z
අයියේ බැංකු පොත ATM කාඩ් එකකට හරවන්නේ කොහොමද හරවන කොට පුරවන්න  තියෙන ෆෝම් මොනවද ඒගැන වීඩීයෝ එකක් ඕනේ 🙏,Transactions and Payments,2023-11-09T03:51:10Z
"HNB DIGITAL BANKING பற்றிய சகல விடயங்களையும் தெளிவாக தெளிவுபடுத்தியதற்கு நன்றி சகோதரா!
மேலும் எனக்கு Ginei App பற்றிய விளக்கமும் தேவைப்படுகிறது.
தர முடியுமானால் தாருங்கள் சகோதரா.",Digital Banking Experience,2024-02-05T02:56:32Z
Sri நான் சவுதி அரேபியாவில் இருக்கிறேன் எனக்கு இந்த   Hatton national digital bank பயன்படுத்த முடியுமா அதுக்கு என்னா செய்ய வேண்டும்,Digital Banking Experience,2023-06-21T12:32:28Z
Bro passcode number marantha enapananum,Digital Banking Experience,2022-10-27T13:16:34Z
Bro yearly evlo charge pandraanga ..mobile banking ku,Digital Banking Experience,2022-03-26T13:15:41Z
Best banking app ethu...srilanka la...unka suggestions sollunga,Digital Banking Experience,2022-03-26T11:55:25Z
பொல் அக்கொண்டு எனாக்கு தோவை படுகிரது முடியிமானா தொர்பு கொல்லுங்க பதில் அவசியாம்   பிலிஸ்  நண்ப,Trust and Security,2022-02-23T07:40:05Z
