comment,aspect,published_at
Anna card Illama epdi apps use pannura,Digital Banking Experience,2023-05-03T13:27:50Z
Enakku kurunagala HNB  bank no vendum,Trust and Security,2023-03-15T13:45:25Z
Bro transfer pannurathula amound ku kila 2 keduruku athu ennathu bro,Transactions and Payments,2023-02-09T14:41:38Z
Bro Debit Card Online payments activela இருக்குது எண்டத எப்படி App மூலமா தெரிஞ்சு கொள்ளலாம்????,Transactions and Payments,2022-12-14T08:23:41Z
Debit card illama eppady bro active panra??,Digital Banking Experience,2022-10-19T08:56:50Z
Indha(HNB) app la srilanka la irundhu india ku money pay panna mudiyuma?,Transactions and Payments,2022-06-01T07:09:14Z
பொபல்க்கு வரவேன்டியா பணாத்தை இதில் பொரமுடியிம்மா நண்ப,Loans and Credit Services,2022-02-21T07:08:09Z
ஒண்லையின்னில்  ஏன்பண்ணும் பணாத்தை பொட்ரு கொல்ல முடியிமா  நண்ப தழிழலிழ் பதில்,Trust and Security,2022-02-20T11:41:13Z
Bro debit card pin  no yenga irikida,Digital Banking Experience,2021-12-10T10:24:48Z
Bro after o/l hnb bank la loan apply pannalama?,Loans and Credit Services,2021-10-05T09:50:49Z
Card illena active panne mudiyatha bro,Digital Banking Experience,2021-09-01T01:14:45Z
Bro money transfer pannurathu purila adhula yaruku pay pannuravangata account details ah kodukanum,Transactions and Payments,2021-08-29T14:33:19Z
Bro reload podattda pending endu varuthu athu kku enna panra thu bro konjam sollunga,Digital Banking Experience,2021-08-03T17:55:14Z
"Anna enaku oru help
Srilanka la irinthu indaiku money anupalama online moolama? 
Because srilankan government stop transaction😭",Transactions and Payments,2021-07-21T08:12:01Z
Bro transactions delete Panalama bro?,Transactions and Payments,2021-07-13T12:05:44Z
Bro eppadi online la Bill pay panniradhunu video poduggala edhula,Transactions and Payments,2021-07-06T15:26:54Z
Credit card kasu poda mudiyatha bro hnb card kku,Loans and Credit Services,2021-06-16T03:29:24Z
Utility payments kku extra fees irukka bro,Transactions and Payments,2021-06-04T06:48:06Z
Online banking use panradhukki charges eppidi bro,Digital Banking Experience,2021-05-31T02:16:34Z
Bro intha app use panni vara bank account akkalukku money annuppalaamaa bro,Transactions and Payments,2021-05-30T15:07:21Z
com bank patthi vidieo podunka bro,Digital Banking Experience,2021-05-27T13:16:37Z
"Anna, people's bank ku sollungale",Trust and Security,2021-05-24T03:48:24Z
"HI Anna May 31 st ku piragu YouTube monetization enable aagichina appo US tax info submit panna 30% tax vettuvangala
Please sollunga anna plz most of small Youtuber ku ithu periya doubt ...",Digital Banking Experience,2021-05-23T19:04:57Z
Bro அப்படியே boc online bank பற்றியும் கொஞ்சம் சொன்னா suppara இருக்கும்.,Digital Banking Experience,2021-05-23T07:43:24Z
Bro enda phone La hnb digital banking app support panala enda phone model j2 2015 model ethula entha app support pannatha,Customer Support,2021-05-23T06:54:33Z
Bro airtel time based pakkege irukka,Customer Support,2021-05-23T04:24:04Z
Alibaba online shopping app சம்மந்தமாகவும் ஒரு பொருளை எவ்வாறு வாங்குவது பற்றி Video போடுங்க bro.... Pls.....,Digital Banking Experience,2021-05-22T15:47:59Z
"Credit card epdi edukura bro plz bro tell me
EMI la epdi product vankuran plz",Loans and Credit Services,2021-05-22T15:33:12Z
"NtB Frimi யை விடவா???
Unlimited Data என்று சொல்லும் அனைத்தும் ஏமாற்று வேலை

Mobitel postpaid & prepaid சுத்த Waste பயன்படுத்த வேண்டாம்",Loans and Credit Services,2021-05-22T14:47:42Z
ATM Fee saver app is very helpful for every traveller :),Digital Banking Experience,2023-06-22T20:05:09Z
Ez cash topup karanna baa needa,Transactions and Payments,2024-04-27T12:57:07Z
Bank account number eke 15 digits thiyenw.. app eka 12 digits.. ethkot mk,Digital Banking Experience,2024-03-20T03:36:01Z
වැඩිම  ගාණ කීයක් ද,Transactions and Payments,2024-02-22T10:59:47Z
Ayye hnb visa debit card eka online payment karanna hadaganne kohomada 😓,Transactions and Payments,2024-02-12T06:40:10Z
Debit card number kiyana ekata mokakkda denne,Digital Banking Experience,2023-11-05T12:18:04Z
ඇප් එක හාදාගන්න බැනෙ,Digital Banking Experience,2023-11-01T15:19:55Z
අයියෙ බ්‍රාන්ච් නේම් එකයි නමයි බලා ගන්නෙ කොමද,Digital Banking Experience,2023-10-30T10:32:24Z
Fund transfer ekt yanna bane😢msg ekak enwne ynn bane,Transactions and Payments,2023-09-28T14:19:42Z
Hnb  කාඩ් එකකින්  වෙනත් බැංකු Atm එකකින් සල්ලි ගන්න විදිහ කියලා දෙන්නකෝ,Transactions and Payments,2024-03-28T06:10:43Z
අයියෙ  වෙන බැන්කු වලින් පුළුවන්ද     වෙන ගිනුමකට සල්ලි දාන්න,Loans and Credit Services,2024-03-06T17:04:11Z
Debit card එකෙන් ඉන්ධනහලකට සහ සාප්පුවකට ගිහිං ගෙවීම් කරන විදිහ සම්බන්ධව video එකක් කරන්ඩකො මිත්‍රයා. ග්‍රාමිය ජනතාවට තාම මේ දේවල් ගැන අවබෝධය අඩුයි.,Transactions and Payments,2024-01-06T11:16:19Z
😢ග්‍රාමීය බැංකුව සල්ලි ගන්න විදිය,Loans and Credit Services,2023-11-24T06:55:45Z
Aiye NSB ATM card eke salli ganna widiha kiyala dennko,Digital Banking Experience,2023-11-23T06:32:35Z
Card eke pin number eka wenas karanna puluwan da,Digital Banking Experience,2023-11-22T18:39:47Z
Ayya credi card ekk online shopinng krna vidht hadaganna hti kiynna ko kohomd kiyala ikmnt,Digital Banking Experience,2023-11-21T09:46:49Z
ATM කාඩ් එක සල්ලි කැපෙන වද,Transactions and Payments,2023-11-16T03:27:46Z
බැංකුවේ පොත ATM කාඩ් එක ආරබ කරන්නේ කොහොමද,Transactions and Payments,2023-11-16T03:26:23Z
අයියේ බැංකු පොත ATM කාඩ් එකකට හරවන්නේ කොහොමද හරවන කොට පුරවන්න  තියෙන ෆෝම් මොනවද ඒගැන වීඩීයෝ එකක් ඕනේ 🙏,Transactions and Payments,2023-11-09T03:51:10Z
"Math lagadi gaththa hnb card ekak, anik banks walata wada lesi",Digital Banking Experience,2023-11-05T20:38:11Z
"HNB DIGITAL BANKING பற்றிய சகல விடயங்களையும் தெளிவாக தெளிவுபடுத்தியதற்கு நன்றி சகோதரா!
மேலும் எனக்கு Ginei App பற்றிய விளக்கமும் தேவைப்படுகிறது.
தர முடியுமானால் தாருங்கள் சகோதரா.",Digital Banking Experience,2024-02-05T02:56:32Z
Sri நான் சவுதி அரேபியாவில் இருக்கிறேன் எனக்கு இந்த   Hatton national digital bank பயன்படுத்த முடியுமா அதுக்கு என்னா செய்ய வேண்டும்,Digital Banking Experience,2023-06-21T12:32:28Z
Bro Debit Card Online payments activela இருக்குது எண்டத எப்படி App மூலமா தெரிஞ்சு கொள்ளலாம்????,Transactions and Payments,2022-12-14T08:22:20Z
Bank Statement eppadi Bro edukkurathu,Digital Banking Experience,2022-11-17T00:55:23Z
Bro passcode number marantha enapananum,Digital Banking Experience,2022-10-27T13:16:34Z
Bro passcode number marantha enapananum,Digital Banking Experience,2022-10-27T13:15:56Z
Bro passcode number marantha enapananum,Digital Banking Experience,2022-10-27T13:15:43Z
ஒரு கணக்கை Add செய்து Fund transfer செய்த கணக்கை எவ்வாறு delete செய்வது.,Transactions and Payments,2022-09-10T05:34:17Z
Bro yearly evlo charge pandraanga ..mobile banking ku,Digital Banking Experience,2022-03-26T13:15:41Z
Best banking app ethu...srilanka la...unka suggestions sollunga,Digital Banking Experience,2022-03-26T11:55:25Z
பொல் அக்கொண்டு எனாக்கு தோவை படுகிரது முடியிமானா தொர்பு கொல்லுங்க பதில் அவசியாம்   பிலிஸ்  நண்ப,Trust and Security,2022-02-23T07:40:05Z
"Super bro naan ippo saudi la irukken naanum intha app use panren money transfer pannumpothu otp Number phone number kku pohuthu phone number srilankavil irukku 

Enda account la phone number mattumthaan koduthu irukken 
Email id kodukkala 
Email id ya eppadi bro add panrathu
Note : naan profile la poi add pannalam enru ninaithen edit panna varuthilla ithukku enna pannalam bro.",Customer Support,2021-08-09T02:11:56Z
Meke salli transfer karana limit ekak thiyenawada ?? Laksha 2kata wada transfer karanna bari da?,Loans and Credit Services,2024-02-28T02:21:35Z
Hnb හොදයි ලබ්බට කෝටු ගහන්න සල්ලි දාගන්න බලන්න යූටුබ් චැනල් එකටම යන්න උනානේ එදකින්,Digital Banking Experience,2023-12-26T06:45:35Z
Bro bank eka select karaddi branch name eke denna widihak pennanne nadda boc dala kadawata kiyala wage denna.,Trust and Security,2023-08-10T11:19:27Z
Mn dawas dekekete kalin hnb debit card ekak hada gatta eken online payment keraddi transaction failed kiyela watenewane😢,Transactions and Payments,2023-06-25T10:41:12Z
HNB Credit card ekakin unath me app ekta register wenna puluwanda,Loans and Credit Services,2022-07-28T07:04:52Z
Mata hnb bank eken e-statment ekak avilla   mage  mail ekata mokakda e ekata mokada karanna one.,Digital Banking Experience,2022-06-02T05:40:33Z
Mn kalin use karapu 4n eka maru krddi ekn mn digital banking app ek uninstall kra dn me 4n ek hdnna amruyne mkda krnne ekta???,Digital Banking Experience,2022-03-26T16:55:40Z
අනේ මන්ද බන් පොඩ්ඩක් හිමීට පැහැදිලිව කියහන්කො සල්ලි ට්‍රාන්ස්වර් කරද්දී අර ෆිල් කරන්නෙ කොහොමද කියලා.😕,Transactions and Payments,2022-02-17T18:03:40Z
අපි වෙන account  එකකට සල්ලි ට්‍රාන්සර් කලාම අපිට මුකුත් massage එකක්  එන්නෙ නැද්ද ? ඒ යවපු කෙනාට යවන්න ?,Transactions and Payments,2021-11-08T09:39:46Z
HNB එකේ debit card එක ඇක්ටිවේට් කරගන්න විදිහ කියලා දෙන්නකො කවුරු හරි.මට ATM  use කරන්න ඕනෙ නෑ  online payment විතරයි.ඒත් ඇක්ටිව් කරන්න ATM එකකට දාන්න ඕනෙ නේද?,Transactions and Payments,2021-10-25T12:27:11Z
