comment,aspect,published_at
பொபல்க்கு வரவேன்டியா பணாத்தை இதில் பொரமுடியிம்மா நண்ப,Loans and Credit Services,2022-02-21T07:08:09Z
ஒண்லையின்னில்  ஏன்பண்ணும் பணாத்தை பொட்ரு கொல்ல முடியிமா  நண்ப தழிழலிழ் பதில்,Trust and Security,2022-02-20T11:41:13Z
Bro debit card pin  no yenga irikida,Digital Banking Experience,2021-12-10T10:24:48Z
Card ille bro en uncle eranthutaru card ille but avaru card edukala so acount online banking edukalama,Digital Banking Experience,2021-09-01T01:15:59Z
"Anna enaku oru help
Srilanka la irinthu indaiku money anupalama online moolama? 
Because srilankan government stop transaction😭",Transactions and Payments,2021-07-21T08:12:01Z
Bro transactions delete Panalama bro?,Transactions and Payments,2021-07-13T12:05:44Z
Credit card kasu poda mudiyatha bro hnb card kku,Loans and Credit Services,2021-06-16T03:29:24Z
Utility payments kku extra fees irukka bro,Transactions and Payments,2021-06-04T06:48:06Z
Bro intha app use panni vara bank account akkalukku money annuppalaamaa bro,Transactions and Payments,2021-05-30T15:07:21Z
com bank patthi vidieo podunka bro,Digital Banking Experience,2021-05-27T13:16:37Z
"Anna, people's bank ku sollungale",Trust and Security,2021-05-24T03:48:24Z
Bro அப்படியே boc online bank பற்றியும் கொஞ்சம் சொன்னா suppara இருக்கும்.,Digital Banking Experience,2021-05-23T07:43:24Z
Bro enda phone La hnb digital banking app support panala enda phone model j2 2015 model ethula entha app support pannatha,Customer Support,2021-05-23T06:54:33Z
Bro airtel time based pakkege irukka,Customer Support,2021-05-23T04:24:04Z
Alibaba online shopping app சம்மந்தமாகவும் ஒரு பொருளை எவ்வாறு வாங்குவது பற்றி Video போடுங்க bro.... Pls.....,Digital Banking Experience,2021-05-22T15:47:59Z
"Credit card epdi edukura bro plz bro tell me
EMI la epdi product vankuran plz",Loans and Credit Services,2021-05-22T15:33:12Z
