video_id,title,description,url,likes,views,comment_count,published_at,hashtags,keyword_hits
M7Uy2dCZQFI,🇱🇰🏦Trainee Staff Assistant Job Vacancies – Bank of Ceylon (BOC) Sri Lanka | 2025 | Sinhala|Apply Now,"🏦 Trainee Staff Assistant Job Vacancies – Bank of Ceylon (BOC) Sri Lanka 🇱🇰 | Apply Now Before 2025.05.24!

📢 Join Sri Lanka’s No.1 Bank! The Bank of Ceylon (BOC) is now recruiting Trainee Staff Assistants. If you are young, energetic, and have passed both G.C.E. O/L and A/L exams in one sitting, this is your chance to begin a prestigious and permanent banking career.

🔑 Job Highlights:
✅ Position: Trainee Staff Assistant
✅ Institution: Bank of Ceylon (BOC)
✅ Age Limit: 24 years or below (as of closing date)
✅ Salary:

1st Year: Rs. 55,000/month

2nd Year: Rs. 70,000/month
✅ Closing Date: May 24, 2025
✅ Job Type: Full-Time (Leading to permanent cadre upon completion)

📚 Eligibility Criteria:
✔️ G.C.E. O/L – 6 subjects with at least 5 credit passes, including Sinhala/Tamil, Mathematics & English, in one sitting
✔️ G.C.E. A/L – 3 subjects (excluding General English, General Knowledge, and IT), in one sitting

💼 Key Attributes Required:
🔹 Strong interpersonal & communication skills
🔹 Perseverance, time management, and commitment
🔹 Ability to work flexible hours, including weekends/holidays

📝 Selection Process:
Competitive Written Exam

Paper I: General Knowledge, IQ, IT

Paper II: English Language

Interview for shortlisted candidates

📩 How to Apply:
🔗 Apply only through the official website: www.boc.lk under the “Careers” tab before 24.05.2025
⚠️ Apply for only one province or your application will be disqualified
📎 Keep your “Application Reference Number” safe after submission
📎Advertisement and Instructions link : https://drive.google.com/file/d/1iNhMjbCVYR6hH1gX7PNbiXJ-wjsxHPL7/view?usp=sharing  

🚀 Start your banking career with Bank of Ceylon – Apply Now!

📢 Join the Conversation:
Connect with us on social media for more tips and updates:

🔔Face book page link :- https://www.facebook.com/profile.php?id=100076366988755
🔔whatsapp channel link :- https://whatsapp.com/channel/0029VaCXqayHAdNSSupVc70M

🌟 Welcome to IQ School - IQ ඉස්කෝලේ | Your Guide to Job Opportunities and Professional Courses!

👉 Are you a job seeker looking for the latest job vacancies and tips on how to apply? Or perhaps you're interested in discovering professional courses to boost your qualifications? You've come to the right place! On this channel, we provide comprehensive information and guidance to help you navigate the job market and enhance your career prospects.

📋 What We Offer:

🔍 Job Vacancies: Stay updated with the latest job openings across various sectors in Sri Lanka and internationally. Learn about the application process, eligibility criteria, and important deadlines.
🎓 Professional Courses: Discover a wide range of professional courses that can help you acquire the necessary skills and qualifications to succeed in your career.
📈 Career Advice: Get expert tips on resume writing, interview preparation, and career development to improve your chances of landing your dream job.
🌐 Job Market Insights: Stay informed about current trends and opportunities in the job market to make well-informed career decisions.

🚀 Stay Connected:
Subscribe to our channel and hit the notification bell to never miss an update. Join our community of job seekers and career enthusiasts to share experiences, ask questions, and support each other.


👍 Don't Forget to Like, Share, and Subscribe for More Valuable Content!",https://www.youtube.com/watch?v=M7Uy2dCZQFI,65,3421,22,2025-05-12T13:30:27Z,,2
ZxDeir7hmzM,Bank Of Ceylon Education Film by REDLIME,"Chief Creative Officer : SD Nishanka
Creative Director : Tissa Samarakoon
Film Director: Tilak Jajakody
DOP : Channa Deshapriya
Production : REDLIME Sri Lanka",https://www.youtube.com/watch?v=ZxDeir7hmzM,0,509,1,2013-01-08T06:14:47Z,,1
oJgRIOdY7c4,“A Trillion” Hat trick from Bank of Ceylon,,https://www.youtube.com/watch?v=oJgRIOdY7c4,0,195,0,2017-01-23T07:33:08Z,,1
9Zu5AHk6xbc,🇱🇰🏦Defense Assistant Job Vacancies – Bank of Ceylon (BOC) Sri Lanka | 2025 | Sinhala,"🏦 Defense Assistant Job Vacancies – Bank of Ceylon (BOC) Sri Lanka 🇱🇰 | Apply Now!

📢 Exciting Career Opportunity at Bank of Ceylon! The Bank of Ceylon (BOC) is now hiring Defense Assistants. If you are seeking a stable and prestigious banking job, this is your chance to join one of Sri Lanka’s leading banks.

Bank of Ceylon Link: https://www.boc.lk

🔑 Job Details:
✅ Position: Defense Assistant
✅ Bank: Bank of Ceylon (BOC)
✅ Salary: Up to LKR 50,000.00 per month 💰
✅ Age Limit: Below 35 years
✅ Closing Date: May 03, 2025
✅ Employment Type: Permanent / Full-time

📚 Minimum Qualifications:
Educational qualifications as specified in the official job notice

Preference for candidates with relevant skills and experience

💼 Why Join BOC?
✔️ Work in Sri Lanka’s No.1 trusted banking institution
✔️ Attractive salary and benefits package
✔️ Long-term career growth opportunities
✔️ EPF, ETF, and additional banking sector allowances

📩 How to Apply:
Submit your completed application before May 3, 2025

Follow the guidelines provided in the official BOC recruitment notification

🚀 Secure your future with Bank of Ceylon! Apply now and build a successful career in banking!

📢 Join the Conversation:
Connect with us on social media for more tips and updates:

🔔Face book page link :- https://www.facebook.com/profile.php?id=100076366988755
🔔whatsapp channel link :- https://whatsapp.com/channel/0029VaCXqayHAdNSSupVc70M

👍 Don't Forget to Like, Share, and Subscribe for More Valuable Content!

🌟 Welcome to IQ School - IQ ඉස්කෝලේ | Your Guide to Job Opportunities and Professional Courses!

👉 Are you a job seeker looking for the latest job vacancies and tips on how to apply? Or perhaps you're interested in discovering professional courses to boost your qualifications? You've come to the right place! On this channel, we provide comprehensive information and guidance to help you navigate the job market and enhance your career prospects.

📋 What We Offer:

🔍 Job Vacancies: Stay updated with the latest job openings across various sectors in Sri Lanka and internationally. Learn about the application process, eligibility criteria, and important deadlines.
🎓 Professional Courses: Discover a wide range of professional courses that can help you acquire the necessary skills and qualifications to succeed in your career.
📈 Career Advice: Get expert tips on resume writing, interview preparation, and career development to improve your chances of landing your dream job.
🌐 Job Market Insights: Stay informed about current trends and opportunities in the job market to make well-informed career decisions.

🚀 Stay Connected:
Subscribe to our channel and hit the notification bell to never miss an update. Join our community of job seekers and career enthusiasts to share experiences, ask questions, and support each other.",https://www.youtube.com/watch?v=9Zu5AHk6xbc,23,1713,4,2025-04-27T13:30:11Z,,2
nQGMTmYFAyE,BOC New Investment Plan | Bank of Ceylon Monthly Interest Fixed Deposits | BOC Relax,"Step into worry-free living
Perfect Investment plans that provide a comfortable monthly return to ease the cost of living

Attractive rate of interest
Fixed deposit with higher monthly return
3 deposit plans for your investment
Maximum protection for your deposits

Bank of Ceylon - BOC

#fixeddeposit #investment #deposit #investmentplan #deposit #bank #governmentbank #srilanka #interestrates 

මෙම YouTube නාලිකාව හරහා ඔබගේ වෙළඳ දැන්වීම ආදිය පළකරවා ගැනීම සදහා +94 70 413 6152 දුරකථන අංකය ඔස්සේ WhatsApp මාර්ගයෙන් සම්බන්ධ වන්න. 

To post your advertisement etc. through this YouTube channel, contact via WhatsApp on +94 70 413 6152 phone number.

இந்த YouTube சேனல் மூலம் உங்கள் விளம்பரம் போன்றவற்றை இடுகையிட, +94 70 413 6152 தொலைபேசி எண்ணில் WhatsApp மூலம் தொடர்பு கொள்ளவும்.

UD's Business Website https://udsbusiness.blogspot.com/

Thank you for watching..! #udsbusiness",https://www.youtube.com/watch?v=nQGMTmYFAyE,2635,229984,302,2022-10-14T11:33:51Z,"#fixeddeposit, #investment, #deposit, #investmentplan, #deposit, #bank, #governmentbank, #srilanka, #interestrates, #udsbusiness",2
V7umnxaQhuI,Dr. Gamini Wickramasinghe new Chairman at Bank of Ceylon,"23-May-07, Bank of Ceylon's new Chairman assumes duties.",https://www.youtube.com/watch?v=V7umnxaQhuI,0,863,0,2007-05-26T10:04:53Z,,1
evjcoROayHc,Bank of ceylon Special loan scheme for sustainable energy and eco-friendly products./අපේ ලෝකය,"Bank of ceylon Special loan scheme for sustainable energy and eco-friendly products./අපේ ලෝකය /Ape Lokaya 

https://www.facebook.com/profile.

https://instagram.com/shamindawickramaarchchi

tiktok.com/@shamindawickramaarchchi7

https://www.facebook.com/shaminda.wickramarchchi

Thanks for watching",https://www.youtube.com/watch?v=evjcoROayHc,339,3801,N/A,2023-10-22T17:26:04Z,,1
NmSlNnrhOg0,Bank of Ceylon Trainee Staff Assistant Job Vacancies 2025 #shorts,"Open Competitive Examination for Recruitment to the Post of Trainee Staff Assistant in the Bank of Ceylon (BOC Bank) 2025

* Posts of Trainee Staff Assistant

* Qualification: GCE A/L
* Location: Islandwide
* Permanent Job after 2 Years Training
* Monthly Allowance: Rs.55,000.00 (1st Year) and Rs.70,000.00 (2nd Year) during the Training Period
* Closing Date: 2025.05.24

Details:
https://www.1plusinfo.lk/2025/05/1003.html

 #BankOfCeylonJobs #BOCTraineeStaffAssistant #BOCJobs2025 #BankOfCeylonJobs #BOCTraineeStaffAssistant #BOCJobs2025 #BOCRecruitment #SriLankaBankJobs #KKAcademySL #TraineeBankJobs #BOCApplicationGuide #GovtBankJobs2025 #BOCJobVacancy #shorts #fyp",https://www.youtube.com/watch?v=NmSlNnrhOg0,24,2774,9,2025-05-10T16:13:13Z,"#BankOfCeylonJobs, #BOCTraineeStaffAssistant, #BOCJobs2025, #BankOfCeylonJobs, #BOCTraineeStaffAssistant, #BOCJobs2025, #BOCRecruitment, #SriLankaBankJobs, #KKAcademySL, #TraineeBankJobs, #BOCApplicationGuide, #GovtBankJobs2025, #BOCJobVacancy, #shorts, #fyp",2
aQ38mek15pM,Bank of Ceylon & World Trade Center Towers in Sri Lanka #srilanka,,https://www.youtube.com/watch?v=aQ38mek15pM,5,202,0,2023-12-22T06:46:11Z,,1
uviBLIALVus,BOC (Bank Of Ceylon) Smart Passbook in Srilanka | Video World,"BOC (Bank Of Ceylon) Smart Passbook in Srilanka | Video World
இந்த videoவில் BOC smart passbook application ஐ எவ்வாறு use பண்ணுவது என்றும் அதிலுள்ள விடயங்கள் பற்றியும் தமிழில் கூறப்பட்டுள்ளது.
மேலும்:
பல videoகளை notification வழியாக பெற்றுக்கொள்ள நமது channel ஐ subscribe செய்யுங்கள்.

BOC smart Passbook Download link: https://play.google.com/store/apps/details?id=com.boc.itdiv.smartpassbook&hl=en

follow: 
    Blogger : https://videowrd.blogspot.com/
    Twitter : https://twitter.com/videowrd
    Google+ : https://plus.google.com/111080357289463691635
    facebook: https://www.facebook.com/VideoWrd/",https://www.youtube.com/watch?v=uviBLIALVus,542,30673,46,2018-01-14T22:02:51Z,,2
1zgP-8uLgNc,BOC Foreign Currency Fixed Deposit | 2023 February | Bank of Ceylon | BOC My Sri Lanka FD Investment,"ලංකා බැංකුව විසින් හඳුන්වා දෙන ලද විශේෂ විදේශ මුදල් ස්ථාවර තැන්පතු යෝජනා ක්‍රමය
BOC My Sri Lanka - Foreign currency Fixed Deposit | Bank of Ceylon
https://boc.lk/index.php?route=product/category&path=217_392_544&desc=1

#fixeddeposit #investment #deposit #investmentplan #deposit #bank #governmentbank #srilanka #interestrates  

UD's Business Website https://udsbusiness.blogspot.com/

Thank you for watching..! #udsbusiness 

මෙම YouTube නාලිකාව හරහා ඔබගේ වෙළඳ දැන්වීම ආදිය පළකරවා ගැනීම සදහා +94 70 413 6152 දුරකථන අංකය ඔස්සේ WhatsApp මාර්ගයෙන් සම්බන්ධ වන්න. 

To post your advertisement etc. through this YouTube channel, contact via WhatsApp on +94 70 413 6152 phone number.

இந்த YouTube சேனல் மூலம் உங்கள் விளம்பரம் போன்றவற்றை இடுகையிட, +94 70 413 6152 தொலைபேசி எண்ணில் WhatsApp மூலம் தொடர்பு கொள்ளவும்.",https://www.youtube.com/watch?v=1zgP-8uLgNc,92,7017,20,2023-02-08T12:29:46Z,"#fixeddeposit, #investment, #deposit, #investmentplan, #deposit, #bank, #governmentbank, #srilanka, #interestrates, #udsbusiness",2
9GIhUE2ITpk,B o c එකට මොකද උනේ | The attack on the Bank of Ceylon,,https://www.youtube.com/watch?v=9GIhUE2ITpk,41,1581,0,2024-12-29T11:14:08Z,,1
NdBzn5eF7IA,Introducing the new BOC Meta Banking service,"Introducing the new BOC Meta Banking service where you can now easily engage in your banking activities through WhatsApp. You too can contact us via 011 220 4444 and experience the convenience of WhatsApp banking today! 

#BOC #BankersToTheNation #BOCMetaBanking #BOCWhatsappBanking",https://www.youtube.com/watch?v=NdBzn5eF7IA,146,16428,6,2023-05-16T04:30:13Z,"#BOC, #BankersToTheNation, #BOCMetaBanking, #BOCWhatsappBanking",1
pWyQ8N4Fm0Q,Bank of Ceylon,,https://www.youtube.com/watch?v=pWyQ8N4Fm0Q,17,4983,1,2013-05-29T11:22:04Z,,1
1t0Y1tzLRlI,දැක්කද පිටරට තියෙන අපේ දේ Bank of Ceylon Seychelles 🇸🇨 branch.,subscribe and join me.,https://www.youtube.com/watch?v=1t0Y1tzLRlI,7,148,0,2023-11-17T15:20:12Z,,1
vzxQWEMG5Jc,Bank of Ceylon,This is Bank Of Ceylon tower which is situated in srilanka. This is a 3d model of it. I used Blender software to model it.,https://www.youtube.com/watch?v=vzxQWEMG5Jc,4,891,2,2013-10-10T11:05:06Z,,1
cgtomJ_SagM,"පිට්ටු බම්බුව: BOC Tower, Colombo, Sri Lanka","BOC Tower in Colombo City! Discover the beauty of Bank of Ceylon Tower and other top attractions. Watch now!
#ceylon #srilanka #mrdhammika",https://www.youtube.com/watch?v=cgtomJ_SagM,38,2447,1,2023-08-29T02:27:31Z,"#ceylon, #srilanka, #mrdhammika",2
vl5Z0KcF6k8,BOC Head Office #subscribe #bank #srilanka #modern  #architecture #visit #colombo    #travel #shorts,,https://www.youtube.com/watch?v=vl5Z0KcF6k8,20,1529,0,2023-07-06T12:30:35Z,,1
bHNEJnIAQR4,"Commercal Bank of Ceylon  PLC, Sri Lanka-  Managing Director/CEO Sivakrishnarajah Renga","Commercal Bank of Ceylon  PLC, Sri Lanka-  Managing Director/CEO Sivakrishnarajah Renga – winner of the European Quality award.

Commercial Bank is the largest private bank in  Sri Lanka and the only Sri Lankan bank amongst the Top 1000 Banks of the World for ten successive years (The Banker Magazine, UK). The Bank operates the country’s single largest ATM network with an island-wide strategically located network of Branches/Service Points. Commercial Bank operates a network of over 268 branches and over 900 ATMs in Sri Lanka. The Bank has won multiple awards as Sri Lanka’s Best Bank, Best Trade Bank, Strongest Bank, Most Respected Bank, Most Responsible Bank from a number of local and international institutions and publications over several years.",https://www.youtube.com/watch?v=bHNEJnIAQR4,1,78,N/A,2021-03-25T10:48:43Z,,1
BrIf5UELt4M,පිටකොටුව ලංකා බැංකුවේ පාන් දන්සැල Bank of Ceylon 🍞 #boc #bankofceylon,,https://www.youtube.com/watch?v=BrIf5UELt4M,4,423,1,2024-05-22T10:45:24Z,,2
kcX8YlA5pU4,Bank Of Ceylon | Corporate TVC,,https://www.youtube.com/watch?v=kcX8YlA5pU4,7,851,0,2020-07-10T08:42:54Z,,1
zV5Nxaaqz50,Commercial Bank of Ceylon (Corporate Profile),The Commercial Bank of Ceylon (PLC) of Sri Lanka. History and about the bank,https://www.youtube.com/watch?v=zV5Nxaaqz50,34,14021,1,2010-02-08T09:04:08Z,,1
0O2YIEAkJQU,BANK OF CEYLON CORPORATE TALENT SHOW - e,via YouTube Capture,https://www.youtube.com/watch?v=0O2YIEAkJQU,3,680,0,2015-08-28T15:05:53Z,,1
QDbbc-b5dL0,Colombo  Bank of Ceylon Front side design 😍  #boc #colombo #ceylon_bank #bank #design #architecture,,https://www.youtube.com/watch?v=QDbbc-b5dL0,19,657,0,2024-02-20T08:11:12Z,,2
PaOmqPYhvkE,Double Your Investment | BOC | Bank of Ceylon,"Earn a guaranteed double return on your deposit with a ""BOC Double Your Investment"" fixed deposit and double your success.
Bank of Ceylon (BOC) - Sri Lanka’s first state-owned commercial bank.

Thank you for watching..! #udsbusiness",https://www.youtube.com/watch?v=PaOmqPYhvkE,277,15965,55,2022-08-02T16:11:58Z,#udsbusiness,2
ChK_xq8vDCA,BANK OF CEYLON INGIRIYA BRANCH RELOCATION | ඉංගිරිය,"Bank of Ceylon Ingiriya Branch have moved to a newly build spacious building in the heart of the Ingiriya town on the 26th Day of May 2020. 
Special Thanks goes to:
Corporate Management
Province Management
Manager and all the Staff
Security Officers
All the co workers
and the Owner of the building Mr. Sunil Samararachchi",https://www.youtube.com/watch?v=ChK_xq8vDCA,13,499,2,2020-05-31T15:47:19Z,,1
PIuIf6YVhYc,Bank Of Ceylon in  Seychelles County 🏦,"This is our Sri Lankan bank. 
Visit and save money and send to Sri Lanka. 

#MRPABI #PABIVLOGS #mrpabivlogs @MrPabiVlogs",https://www.youtube.com/watch?v=PIuIf6YVhYc,35,1702,0,2023-05-24T08:28:57Z,"#MRPABI, #PABIVLOGS, #mrpabivlogs",1
3IyJ1Yn_OA4,Chief Executive Officer of Commercial Bank of Ceylon wishes United Hospital Limited,Chief Executive Officer of Commercial Bank of Ceylon wishes United Hospital Limited,https://www.youtube.com/watch?v=3IyJ1Yn_OA4,7,724,1,2021-11-10T11:20:10Z,,1
Fx_iXj2XE2I,BOC Smart Remit - Bank of Ceylon ලංකා බැංකුව ස්මාර්ට් රෙමිට් සේවය,"BOC Smart Remit - Bank of Ceylon ලංකා බැංකුව ස්මාර්ට් රෙමිට් සේවය
instant money transfer",https://www.youtube.com/watch?v=Fx_iXj2XE2I,1,299,0,2020-10-28T15:39:23Z,,2
13u2dPYs2N8,Commercial Bank Of Ceylon PLC ගැන සියලු තොරතුරු දැනගන්න - sinhala,"===👉 ABOUT THIS VIDEO...👇 ===================================

Commercial Bank of Ceylon PLC යනු ශ්‍රී ලංකාවේ විශාලතම පුද්ගලික බැංකුව ලෙස සැලකේ.
1920 දී Eastern Bank ලෙස ආරම්භ වූ මෙය, 1969 ජූනි25 වන දින කොමර්ෂල් බැංකු ඔෆ් සීලෝන් ලිමිටඩ් ලෙස ලියාපදිංචි කරන ලදී. 
මෙම බැංකුව ශ්‍රී ලංකාව තුළ ශාඛා 271 ක් සහ ස්වයංක්‍රීය ටෙලර් යන්ත්‍ර (ATM) 934 ක් පවත්වාගෙන යයි. 
එහි සේවා ව්‍යාප්තිය ශ්‍රී ලංකාවට පමණක් නොව, බංග්ලාදේශය, මාලදිවයින,සහ මියන්මාරය දක්වා විහිදී ඇත.

කොමර්ෂල් බැංකුවේ ප්‍රධාන කාර්යාලය කොළඹ 01, සර් රාසික් ෆාරීඩ් මාවතේ පිහිටා ඇත.
බැංකුවේ සභාපති ලෙස ෂර්හාන් මුහ්සීන් මහතා, සහ ප්‍රධාන විධායක නිලධාරී ලෙස 
සනත් මනතුංග මහතා කටයුතු කරයි
 2022 වසරේදී, බැංකුවේ මුළු ආදායම රුපියල් බිලියන280.387 ක් ලෙස වාර්තා විය.

කොමර්ෂල් බැංකුව ශ්‍රී ලංකාවේ කාන්තා පාරිභෝගිකයින් සඳහා ""අනගි කාන්තා බැංකුකරණසේවාව"" ලෙස විශේෂිත මූල්‍ය සේවා ලබා දේ.

තවද, මෙම බැංකුව ""ComBank Digital"" යන මෘදුකාංගය හරහා පාරිභෝගිකයින්ට වේගවත්,සරල, සහ ආරක්ෂිත අන්තර්ජාල බැංකුකරණ 
අත්දැකීමක් ලබා දෙයි.වැඩිම සම්මාන දිනු බැංකුවයි... 
Commercial Bank Of Ceylon PLC ගැන සියලු තොරතුරු දැනගන්න එන්න අද වීඩියෝවට..

========ඉහත විඩියෝ එකේ මතුවන ගැටලු පහළින් Comment කරන්න=========
Subscribe to My Channel Thank You

​#srilanka​ #stockmarket​ #invest​ #cse​ 

💫අපිව Subscribe කරන්න...(අරුණැල්ල) Thanks...🤗💓",https://www.youtube.com/watch?v=13u2dPYs2N8,2,89,0,2025-02-04T04:14:25Z,"#srilanka​, #stockmarket​, #invest​, #cse​",1
