comment,aspect,published_at
Ayye huawei y7A phone eka ganath oneeeee,,2021-02-20T02:57:02Z
Fortnite gameply ekak one ayako,,2021-02-20T02:49:29Z
Video එක නම්. හොදයි අය්යේ මේ. ගේම් එක ගැන video එකක් කරන්නකෝ. Cutie garden,,2021-02-20T02:25:51Z
Video එක නම්. හොදයි අය්යේ මේ. ගේම් එක ගැන video එකක් කරන්නකෝ. Cutie garden,,2021-02-20T02:25:51Z
🤝,,2021-02-20T02:02:48Z
apinam ready,,2021-02-20T01:37:50Z
Wow,,2021-02-20T01:37:28Z
https://youtu.be/Gnjpzf9nwv8,,2021-02-20T01:15:46Z
Supper  app  eka.,,2021-02-20T00:50:52Z
Ado one plus nord gane danpko vidio ekk,,2021-02-20T00:25:01Z
Niyamai aiya.,,2021-02-19T23:24:50Z
app story eke nane app eka,,2021-02-19T22:42:45Z
Good,,2021-02-19T19:17:27Z
anuka di silwa kiyanne kauda aiye,,2021-02-19T19:02:25Z
"*තෙරුවන්සරණයි! යාලුවනේ*

*තවත් කෙනෙක්ගේ දියුණුවක් දැකලා හදවතින්ම සතුටු වෙන්න පුලුවන් ආදරණීය හදවත්වලින් ඉල්ලන අහිංසක ඉල්ලිමක්*

*නිදහසේ අහන්න පුලුවන් ලස්සන සිංදු ටිකක් මගේ චැනල් එකේ තියෙනවා, ඇවිත් බලන්න, හොදයිනම්  සහයෝගයක් දෙන්න.සහයෝගය ඕනී යාලුවොත් එන්න comment එකක් දාන්න*

*තෙරුවන්සරණයි! 
පරිස්සමෙන් ඉන්න*.....",,2021-02-19T19:01:43Z
236 Comment 718 Like.,,2021-02-19T18:29:27Z
🤣,,2021-02-19T18:22:03Z
"Niyama app ekak supiri 
Thank you chanux aiye",,2021-02-19T18:06:22Z
වැඩිම like ප්‍රමාණයක් තියෙන comment එකක් සහ chanux අයියා ගෙන් love එකක් එකක් ගන්න බලාගෙන ඉන්න අය කවුද ? ,,2021-02-19T17:56:41Z
සුපිරි සුපිරි ,,2021-02-19T17:34:53Z
"එල එල  chanux 
",,2021-02-19T17:33:52Z
Chanux ,,2021-02-19T17:23:57Z
කෝ බලන්න හැමදාම chanux ගේ videos බලන කට්ටිය,,2021-02-19T17:23:56Z
නිදාගන්න හැදුවා විතරයි අනෙ,,2021-02-19T17:20:39Z
Adeh,,2021-02-19T17:17:04Z
pavichi karala thiyana wa,,2021-02-19T17:16:44Z
Super video.,,2021-02-19T17:16:06Z
ela kollo,,2021-02-19T17:11:01Z
තේ එකක් බිස්කට් එකක් අරගෙන ලෑස්ති වෙන්න දෙයක් නෑ රෑට කාලා ඉන්නේ. 🤣🤣🤣🤣🤣,,2021-02-19T17:10:13Z
patta,,2021-02-19T17:09:33Z
අයියා huawei celia  assistant gana video ekak oni,,2021-02-19T17:09:28Z
I trust u,,2021-02-19T17:05:27Z
Lanka qr tiyenne kohed?,,2021-02-19T17:02:50Z
Super,,2021-02-19T17:00:51Z
Superb ,,2021-02-19T16:58:53Z
Razer laptops gana video ekak one,,2021-02-19T16:55:42Z
golden button කපරක්කුඉ පරක්කුයි කියන කට්ටිය  like එකක් දාගෙනයන්න,,2021-02-19T16:55:41Z
Ela,,2021-02-19T16:55:23Z
ජයවේවා ,,2021-02-19T16:53:13Z
"🥂.
අහලා බලන්න ඇසිපියන් 
https://youtu.be/ORtzCwgcvE0
සම්පූර්ණ ගීතයම රසවිඳ, හොඳයි නම් channel එකත් sub කරලා ගීතයේ හොඳ නරක comment එකකින් කියන්න 
ඔබට ජය ",,2021-02-19T16:52:55Z
https://youtu.be/V7nHWHneo3c,,2021-02-19T16:50:51Z
Too looooooong,,2022-09-02T21:47:26Z
Useful video,,2021-10-13T04:35:25Z
Sinhala,,2021-09-30T16:31:36Z
Super ,,2021-08-14T17:55:10Z
Nice ithu ungda A/C 018020133511,,2021-06-25T12:50:23Z
BOC app la neraya bugs irkuu but HNB best,,2021-06-11T08:25:04Z
Usefull vdo ,,2021-05-29T04:00:31Z
Nan bavikiren semma,,2021-05-23T10:57:59Z
Also boc good,,2021-05-22T20:13:25Z
super,,2021-05-22T17:13:18Z
Hi,,2021-05-22T16:41:13Z
Today Ennota Corona Positive Story video potirukan support pannunga friends 🤝,,2021-05-22T16:31:23Z
Email aka add karanne kohomada?,,2024-03-29T12:49:09Z
වවගගනමම්ස්න්ංන්,,2024-03-25T09:41:39Z
Thnx good,,2024-03-14T17:46:24Z
Block unama vena phone ekakin haduvakida,,2024-03-04T07:37:56Z
Aiye me app ekata dawasa gane kiyak hari kepenawada ape account eken,,2024-02-24T19:06:00Z
Good,,2024-02-02T03:22:04Z
mge app ekt rejester venn bane ,,2024-01-10T03:16:18Z
Thankyou  i do it,,2023-11-21T19:35:20Z
Very good ...,,2023-11-20T22:35:27Z
Pin cid eka illnaoo ayi ee,,2023-08-29T03:53:11Z
Mata hdn bane,,2023-08-28T13:53:31Z
"Thanks so much 
 hnb digital banking app ek use krn vidye video ekk dnnko",,2024-03-20T17:38:31Z
කියලා දෙන විදිය හරියටම හරි බ්‍රෝ,,2024-01-11T08:25:56Z
Boc atm card ekk dl slli gn berid,,2023-12-29T11:49:24Z
Akta bomba suiz Alam on off,,2023-10-12T22:55:21Z
18:52 ,,2022-03-26T13:03:14Z
Thank you aiye,,2024-04-28T06:13:32Z
Rata inna kenekta sim eka genath nat nam code eka hadaganne kohomada,,2024-04-17T17:49:12Z
"Rosa pata unnane like button eka 

Thank you bokka loku udawwak patta watinawa ",,2023-10-26T03:01:55Z
Restoran sultan jari sentuh phone,,2023-10-13T01:50:23Z
Elama,,2021-12-17T13:30:46Z
Patta Bokka,,2021-12-17T10:36:57Z
Good Job,,2021-12-17T03:40:05Z
Elama,,2021-12-16T20:00:40Z
Super,,2021-12-16T19:18:25Z
Excellent,,2021-12-16T18:02:48Z
Elama,,2021-12-16T17:24:36Z
ado thnx hode 🥰,,2021-12-04T06:20:48Z
