Comment,Aspect,Date
2000 like eka magen ,,2021-05-29T13:02:19Z
Wena ewata transfer  karanna puluwanda,,2021-05-25T08:53:26Z
Niyamai ..,,2021-05-23T13:23:24Z
Hnb digital app gana krnnko,,2021-04-16T04:46:30Z
Meka app eke pitaratakata wadakaranawada lankawe account ekakata add karoth,,2021-03-26T11:06:15Z
M,,2021-03-01T18:27:04Z
Ayye shop ekakata gihilla hariwidiyata phone eken pay karana widiya gana video ekak karanna,,2021-03-01T17:40:04Z
Chanux aiyee oya phone ekak reset karana eka pilibadawa video ekak karannakooo. Eka 4n ekata hodada nadda kiyalawath danaganna. From android 4n,,2021-02-26T06:53:23Z
සුපිරි ,,2021-02-24T17:12:18Z
Wireless headset ගැන විඩියෝ එකක් කරන්න පුළුවන් ද,,2021-02-24T01:59:37Z
Chanux academy eke programming nawaththapu තැනින් patan ganna,,2021-02-23T04:58:40Z
Hi අයියා,,2021-02-22T15:39:22Z
Aiya me online free fire video ekak  ada havasa danndako please,,2021-02-22T06:00:35Z
අයියේ ඔයාට පුලුවන්නම්. පෝන් එකේ ඩිස්පෙලෙ එක ටිවි එකට ගන්න පුලුවන් විදිහේ විඩියෝ එකක් කරන්නකෝ. දැන් තියෙන ඔනම පෝන් එක්කට සෙට් වෙන ඔනම ටීවි එක්කට සෙට් වෙන කේබල් එකක් කියන්න. USB  නැතුව,,2021-02-22T02:27:17Z
ඉංග්‍රීසි මුල සිට ම ඉගෙනගන්න අප හා එක්වන්න,,2021-02-21T18:39:54Z
Anuk de silva ,,2021-02-21T11:53:05Z
අය්යෙ studio tour එකක් දෙන්නකො.studio එකක් හදන්න ideas ගන්න ඕන.,,2021-02-21T11:43:25Z
Niyamai  chanux අයියේ,,2021-02-21T06:28:11Z
download kara use kare na thaa,,2021-02-21T04:37:26Z
Solo app eken salli sheya karanna berida wena bank account walata...aiya,,2021-02-20T16:33:05Z
Patta app ekk,,2021-02-20T16:20:51Z
පට්ට,,2021-02-20T15:56:33Z
Niyama solo app eka ..ratama kamathi da koheda,,2021-02-20T15:15:47Z
https://youtu.be/UsaRtWsNDt4,,2021-02-20T11:53:53Z
පට්ට!!!,,2021-02-20T11:53:19Z
Ayiye koo gold play botton eka.,,2021-02-20T10:56:33Z
Poco m3 review ekak dannako,,2021-02-20T10:06:28Z
Hudek mage me wyayamaya raja sapa pinisa nowana athra chanux bro gen reply ekak bala poroththuwen bawa karunawen salakanna,,2021-02-20T09:55:07Z
නියමයි,,2021-02-20T09:49:44Z
Pubg ගහන අය like එකක් දාලා ID එක දීලා යන්න කෝ,,2021-02-20T09:39:24Z
super ,,2021-02-20T09:08:57Z
heart එකක් දැන්වත් pls දාන්නko chanux aiye,,2021-02-20T08:39:24Z
2021 අලුත්ම සින්දුව මෙන්න https://youtu.be/ZrjhfHH0hzg,,2021-02-20T07:55:44Z
අනේ  DJI  Mavic mini 2  ගැන  unboxing  එකක්  ගේන්න්කෝ,,2021-02-20T07:36:21Z
Uba video okama balatiyanawa asawatama habai oya unboks karana okama tackgajate mata hinayake vitharai aiya,,2021-02-20T07:36:16Z
UnBOXING video ekak one plz,,2021-02-20T07:34:45Z
Oyage number akak danna puluwan da,,2021-02-20T07:08:51Z
Ane ayye gold play button eka unbox korannako,,2021-02-20T06:58:52Z
Enne kohomada,,2021-02-20T06:37:07Z
Aiiye phone ekata software update ewanne kohenda,,2021-02-20T06:36:51Z
Alienware laptop gena video ekak karannako aiye,,2021-02-20T06:19:04Z
Super chanux bro,,2021-02-20T06:03:33Z
Keep it up superb chanux අයියේ,,2021-02-20T05:49:05Z
මම මේක භාවිතා කරනවා ගොඩක් හොඳයි .,,2021-02-20T05:42:53Z
එල කොල්ලෝ ,,2021-02-20T05:08:51Z
9  \c,,2021-02-20T04:43:42Z
"නියමයි,ගොඩාක් වටිනවා.",,2021-02-20T04:23:35Z
Chanux aiya ape HNB debit card eke thiyena mudal pramanaya dena ganna berida oken .,,2021-02-20T03:56:25Z
අදත් ආවා,,2021-02-20T03:48:36Z
https://youtube.com/channel/UCzLCgksSQHNw_bShWMdBxzA,,2021-02-20T03:41:02Z
ane aiye GTA 5  game play one,,2021-02-20T03:20:05Z
සබ්ස්ක්රය්බ්  1000   ගන්න  විදිය   දාන්න   වීඩියෝ 1  ඕනි,,2021-02-20T03:19:35Z
එක වැදගත් නෑ මගේ වයස අවුරුදු දාහතරයි,,2021-02-20T03:13:44Z
"goldenplay button eka unbox karanna niyamithai kiyalath dan maasayak wenawa
koo chanux eka",,2021-02-20T03:11:16Z
Diposhit puluwn dd..,,2021-02-20T03:06:11Z
Ayye huawei y7A phone eka ganath one,,2021-02-20T02:57:37Z
Ayye huawei y7A phone eka ganath oneeeee,,2021-02-20T02:57:02Z
Fortnite gameply ekak one ayako,,2021-02-20T02:49:29Z
"Apahu"" sinhala geek show ekata එහෙමත් නැත්තං chanux bro youtube chanel ekata kiyana kallata"" කැමති aya ko",,2021-02-20T02:47:49Z
Video එක නම්. හොදයි අය්යේ මේ. ගේම් එක ගැන video එකක් කරන්නකෝ. Cutie garden,,2021-02-20T02:25:51Z
Video එක නම්. හොදයි අය්යේ මේ. ගේම් එක ගැන video එකක් කරන්නකෝ. Cutie garden,,2021-02-20T02:25:51Z
🤝,,2021-02-20T02:02:48Z
apinam ready,,2021-02-20T01:37:50Z
Wow,,2021-02-20T01:37:28Z
https://youtu.be/Gnjpzf9nwv8,,2021-02-20T01:15:46Z
ps5 ultimate gaming setup ekath dannakoo,,2021-02-20T01:13:16Z
Nice bro,,2021-02-20T00:54:20Z
Supper  app  eka.,,2021-02-20T00:50:52Z
Ado one plus nord gane danpko vidio ekk,,2021-02-20T00:25:01Z
Niyamai aiya.,,2021-02-19T23:24:50Z
app story eke nane app eka,,2021-02-19T22:42:45Z
Mata sapota  karannako,,2021-02-19T19:21:51Z
Good,,2021-02-19T19:17:27Z
anuka di silwa kiyanne kauda aiye,,2021-02-19T19:02:25Z
"*තෙරුවන්සරණයි! යාලුවනේ*

*තවත් කෙනෙක්ගේ දියුණුවක් දැකලා හදවතින්ම සතුටු වෙන්න පුලුවන් ආදරණීය හදවත්වලින් ඉල්ලන අහිංසක ඉල්ලිමක්*

*නිදහසේ අහන්න පුලුවන් ලස්සන සිංදු ටිකක් මගේ චැනල් එකේ තියෙනවා, ඇවිත් බලන්න, හොදයිනම්  සහයෝගයක් දෙන්න.සහයෝගය ඕනී යාලුවොත් එන්න comment එකක් දාන්න*

*තෙරුවන්සරණයි! 
පරිස්සමෙන් ඉන්න*.....",,2021-02-19T19:01:43Z
236 Comment 718 Like.,,2021-02-19T18:29:27Z
🤣,,2021-02-19T18:22:03Z
HNB na bro 🤐,,2021-02-19T18:17:23Z
"Niyama app ekak supiri 
Thank you chanux aiye",,2021-02-19T18:06:22Z
වැඩිම like ප්‍රමාණයක් තියෙන comment එකක් සහ chanux අයියා ගෙන් love එකක් එකක් ගන්න බලාගෙන ඉන්න අය කවුද ? ,,2021-02-19T17:56:41Z
සුපිරි සුපිරි ,,2021-02-19T17:34:53Z
"එල එල  chanux 
",,2021-02-19T17:33:52Z
Chanux ,,2021-02-19T17:23:57Z
කෝ බලන්න හැමදාම chanux ගේ videos බලන කට්ටිය,,2021-02-19T17:23:56Z
නිදාගන්න හැදුවා විතරයි අනෙ,,2021-02-19T17:20:39Z
Nidiyanna yaddi me video eka balapu kattiya me konata,,2021-02-19T17:18:27Z
Adeh,,2021-02-19T17:17:04Z
pavichi karala thiyana wa,,2021-02-19T17:16:44Z
Super video.,,2021-02-19T17:16:06Z
ela kollo,,2021-02-19T17:11:01Z
තේ එකක් බිස්කට් එකක් අරගෙන ලෑස්ති වෙන්න දෙයක් නෑ රෑට කාලා ඉන්නේ. 🤣🤣🤣🤣🤣,,2021-02-19T17:10:13Z
patta,,2021-02-19T17:09:33Z
අයියා huawei celia  assistant gana video ekak oni,,2021-02-19T17:09:28Z
I trust u,,2021-02-19T17:05:27Z
Lanka qr tiyenne kohed?,,2021-02-19T17:02:50Z
Super,,2021-02-19T17:00:51Z
Superb ,,2021-02-19T16:58:53Z
whatapp unband karanna khda,,2021-02-19T16:57:32Z
chanux ayiya gan thama  akak ganna Bari Una aya ko ,,2021-02-19T16:57:20Z
Razer laptops gana video ekak one,,2021-02-19T16:55:42Z
golden button කපරක්කුඉ පරක්කුයි කියන කට්ටිය  like එකක් දාගෙනයන්න,,2021-02-19T16:55:41Z
Ela,,2021-02-19T16:55:23Z
Chanux ayye mn laga 26800mAh battery ekak tiyena phone ekak tiyenwa habay display gihilla display ekak hoyaganna na ,,2021-02-19T16:54:51Z
kawda chanux brota kemithi like karana yata,,2021-02-19T16:53:26Z
ජයවේවා ,,2021-02-19T16:53:13Z
"🥂.
අහලා බලන්න ඇසිපියන් 
https://youtu.be/ORtzCwgcvE0
සම්පූර්ණ ගීතයම රසවිඳ, හොඳයි නම් channel එකත් sub කරලා ගීතයේ හොඳ නරක comment එකකින් කියන්න 
ඔබට ජය ",,2021-02-19T16:52:55Z
Supiri video ekak chanux bro bannema hida ewa..,,2021-02-19T16:51:26Z
https://youtu.be/V7nHWHneo3c,,2021-02-19T16:50:51Z
අද,,2025-02-27T16:10:27Z
Sishshathweta thegi dennedda oyala  anith bank wala denawa.,,2025-01-31T15:52:19Z
බෙහෙවින්ම ස්තුතියි දැනුවත් කිරීම ගැන ඔබතුමාට ,,2025-01-22T10:07:20Z
"Anay..may..boru danna. Apa..YouTube..akay..saile..hoyanawa 

Borukarayo",,2025-01-20T10:53:26Z
ඔයා කියන දේ කිසිම වැදගත් කමක් නැත.,,2025-01-20T06:54:00Z
Boru baila..mewa balala ape kalaya nasthi wenawa..pissu,,2025-01-19T19:28:38Z
Ma tikiri Lankawa... Badupoliya adukalada,,2025-01-19T14:59:53Z
Kya hi kahu wow,,2025-04-27T09:23:50Z
Bhai yaha padhai kaisa hota hai bhai koi bata do Plzz 🥹,,2024-08-14T10:49:08Z
Eng me 69 aur GT me 54 hai total 123/450 hai koi b stream mil skta h kya bhai plz reply,,2024-08-10T12:51:06Z
@EndlessDestiny bhaiya bcom course hey?,,2024-07-30T21:36:27Z
Hamare up cm pujya Yogi Adityanath ji maharaj isi University se graduate hai,,2024-06-03T04:14:34Z
Bhai muje chairas campus me hostel chahiye form mene fill krdia hai kab tk miljayega,,2023-09-06T03:22:12Z
Bhaiya b.pharma ki course kaisi hai waha? placement hote hai?,,2023-09-03T23:34:34Z
sir Chauras campus aur Srinagar campus alag h ya ek hi h..jab registration Kiya tha tab maine Srinagar campus select Kiya tha but ab mail aaya chauras campus ka..,,2023-08-22T06:34:09Z
Ye b Pharma Srinagar campus kya uttrakhand me hai,,2023-08-21T07:32:40Z
Bro yha snowfall hoti h ky,,2023-08-20T10:13:18Z
Bhai muje to mil gya ,,2023-08-16T01:48:45Z
Sir 223/600and 366/800kya bsc maths mil payga gen,,2023-08-15T08:10:47Z
Bsc agriculture hai chauras me?,,2023-07-31T16:19:54Z
Jab mene form registration kraya toh srinagar campus aa rha toh ye vhi campus hai ya dusra?,,2023-07-29T11:40:41Z
Bhai registration kar raha hun to OTP send aa rahi,,2023-07-25T10:43:33Z
Bhaiya cuet score 216/600 kya mera b.pharm me ho jayega??....HNGBU me plzz reply,,2023-07-21T08:45:17Z
"OBC 
FEMALE CANDIDATE 
CUET SCORE IN GENERAL TEST:- 138/250
COURSE:-BA(Social science & humanities) 
Can i get admission?",,2023-07-17T02:52:31Z
Bhaiya bsc maths ki cut off kitne rahte hai ?,,2023-06-23T12:28:53Z
Bhaiya yaha hostel aur mess charge kitna lagta hai plzz bataiye,,2023-06-03T04:41:48Z
Bhai yaha se b. Pharma karna sahi rhega??,,2023-03-10T12:29:25Z
Bhaiya HNBGU me semester results 2-3 months late aate hai is this true???,,2022-10-27T19:25:21Z
Bhaiya ye political science k liye kysa hai... ,,2022-10-13T11:25:00Z
Mera bsc bio group m naam aaya hain aur mein assam se hoon. Kiya mujhe le lena chahiye? Dusre states ke students ke liye kaisa hain yeh University? Hostel milegi ya nhi?? Aur humein wahan pahuchne ke liye kaise jana padega??,,2022-10-11T09:32:32Z
Bhaiya Mera CUET ke through bsc math Hons me ho gya hai to university kasa hai because I am from Uttar Pradesh state board kya teacher only English me padte hai please reply me.,,2022-10-08T13:15:08Z
Ky isme bba ya bcom hota hai bahi,,2022-09-27T16:54:58Z
B Pharma ke liye kaise h ye University???,,2022-09-24T12:38:04Z
Bhaiya cuet ka exam diya tha for history hons,,2022-09-10T06:38:10Z
Kya University m ab admission ho sakta h,,2022-09-05T10:33:48Z
Too looooooong,,2022-09-02T21:47:26Z
Useful video,,2021-10-13T04:35:25Z
Sinhala,,2021-09-30T16:31:36Z
Super bro,,2021-09-05T04:19:05Z
Super ,,2021-08-14T17:55:10Z
Nice ithu ungda A/C 018020133511,,2021-06-25T12:50:23Z
Nanum use panren bro,,2021-05-31T09:59:41Z
Usefull vdo ,,2021-05-29T04:00:31Z
Super bro,,2021-05-25T07:48:19Z
Nan bavikiren semma,,2021-05-23T10:57:59Z
super,,2021-05-22T17:13:18Z
Hi,,2021-05-22T16:41:13Z
Today Ennota Corona Positive Story video potirukan support pannunga friends 🤝,,2021-05-22T16:31:23Z
Keep it up brooo ,,2021-05-22T15:56:14Z
Mekata register venna bank ekatama yanna oni naneda,,2025-04-04T02:13:39Z
Ana mga pon akan ywanna ba dan essalla yuwa at dan kod  msg aka anna na ne  mama dnata enna lankawa nwai mata a gna podak kiyannako,,2025-02-06T03:37:12Z
Thanks  good ,,2025-01-03T08:05:49Z
Mage acc den active neha kiyala wetenawane.mama inne rata kohomada hadaganne,,2024-12-20T12:23:45Z
Loku prshnyk thiynw,,2024-12-03T14:35:40Z
Username eka amathaka unama mokada jaranne. Password eka mathakai,,2024-11-13T07:54:53Z
Meke trancefication delete karanne kohomada,,2024-09-22T04:20:28Z
Mage hnb ekata log venda bane,,2024-07-19T04:11:08Z
Email aka add karanne kohomada?,,2024-03-29T12:49:09Z
වවගගනමම්ස්න්ංන්,,2024-03-25T09:41:39Z
Thnx good,,2024-03-14T17:46:24Z
Good thnx,,2024-03-14T17:45:52Z
Block unama vena phone ekakin haduvakida,,2024-03-04T07:37:56Z
Aiye me app ekata dawasa gane kiyak hari kepenawada ape account eken,,2024-02-24T19:06:00Z
Mata add karaganna bene,,2024-02-24T13:39:24Z
Good,,2024-02-02T03:22:04Z
mge app ekt rejester venn bane ,,2024-01-10T03:16:18Z
Very good ...,,2023-11-20T22:35:27Z
Binance ekatath salli ganna puluwanda,,2023-11-15T10:45:03Z
Mata eka karanna bane,,2023-08-29T16:43:48Z
Pin cid eka illnaoo ayi ee,,2023-08-29T03:53:11Z
Mata hdn bane,,2023-08-28T13:53:31Z
HNB card eken salli ganna ynna onee HNB ATM ekakatama da? Nattam wena ATM walinuth puluwan da….danna kenek kiyannko,,2025-04-04T03:31:11Z
1000,,2025-02-14T19:44:53Z
Oliver Manors,,2024-09-14T02:09:44Z
ඔයාට ගොඩක් ස්තූතියි.කියල දෙන දේ හොඳට තේරෙනවා.,,2024-08-20T15:15:57Z
"ඉතාමත් හොඳයි ,වටිනා දෙයක්.",,2024-06-08T04:21:57Z
"Thanks so much 
 hnb digital banking app ek use krn vidye video ekk dnnko",,2024-03-20T17:38:31Z
කියලා දෙන විදිය හරියටම හරි බ්‍රෝ,,2024-01-11T08:25:56Z
Ane sampath bank eke atm rken salli ganna video ekk one,,2024-01-11T01:32:03Z
Boc atm card ekk dl slli gn berid,,2023-12-29T11:49:24Z
Etkanave register pannidan anaa block la eruku athuku oru video send me,,2024-09-01T04:09:29Z
Lon edukkalama,,2024-05-27T13:51:02Z
Akta bomba suiz Alam on off,,2023-10-12T22:55:21Z
Bro Naan foreign la irukain enahku otp number eduka mudiyama iruku gimail la sms varamthiri ethum seya mudiuma athusammnthama kunjam sollungka,,2023-06-22T07:32:04Z
18:52 ,,2022-03-26T13:03:14Z
Vera level bro,,2021-12-17T15:59:59Z
"Ane mn inne kuwait.mta mehe idan me appa download karagena ,mage ganudenu katayuthu karagannn  plwnda.mta online sambanda wenn plwn numbr ekak denn plwnda bank eke",,2025-04-23T17:43:50Z
බොහොම ස්තූතියි,,2024-08-02T05:19:13Z
Kuhaka ne like ekak demm ,,2024-06-25T07:44:06Z
Tnx,,2024-05-11T11:41:09Z
සමහර ඒවා ඇහෙන්නෙත් නැ,,2024-04-30T17:05:39Z
Rata inna kenekta sim eka genath nat nam code eka hadaganne kohomada,,2024-04-17T17:49:12Z
Mata next kkyana option hide vela pennanava bang,,2024-02-16T11:23:02Z
Wena phone ekakata ena normal msg thawa phone ekakata ganna widiha kiyannako plz,,2023-12-07T06:34:06Z
Wena phone ekakata ena normal msg thawa phone ekakata ganna widiha kiyannako plz,,2023-12-07T06:34:01Z
Wena phone ekakata ena normal msg thawa phone ekakata ganna widiha kiyannako plz,,2023-12-07T06:32:43Z
Wena phone ekakata ena normal msg thawa phone ekakata ganna widiha kiyannako plz,,2023-12-07T06:32:38Z
Wena phone ekakata ena normal msg thawa phone ekakata ganna widiha kiyannako plz,,2023-12-07T06:32:33Z
"Rosa pata unnane like button eka 

Thank you bokka loku udawwak patta watinawa ",,2023-10-26T03:01:55Z
Restoran sultan jari sentuh phone,,2023-10-13T01:50:23Z
Transfer ekak karanna account eka hadala e welema berida,,2023-06-23T03:15:14Z
Mokadda ane oita wada sadda ahenna katha karanna barida mona reddakwath ahenne na    4n eka කනට lan karala ahanna one   ethkota vedio eka penne na 🤦,,2023-03-07T14:53:42Z
Maximum keeyak transfer karanna puluwanda,,2022-05-18T14:21:51Z
Elama,,2021-12-17T13:30:46Z
Patta Bokka,,2021-12-17T10:36:57Z
Good Job,,2021-12-17T03:40:05Z
Elama,,2021-12-16T20:00:40Z
Super,,2021-12-16T19:18:25Z
Excellent,,2021-12-16T18:02:48Z
Elama,,2021-12-16T17:24:36Z
ado thnx hode 🥰,,2021-12-04T06:20:48Z
